도번,LG부품,LG품명,역할,비고
AJR35938601,MJU41496302,"Tube,Discharge",제작동관,
AJR36013006,4930A20053A,"Holder,Sensor",반제품,
AJR36013006,EBF40271401,"Switch,Pressure",반제품,
AJR36013007,4930A20053A,"Holder,Sensor",반제품,
AJR36089801,4H00049A,"Tube,Pinch Off",제작동관,
AJR36479502,MJU42132502,"Tube,Connector",제작동관,
AJR36479502,MJU42132503,"Tube,Connector",제작동관,
AJR36479508,MJU42132502,"Tube,Connector",제작동관,
AJR36479508,MJU42132503,"Tube,Connector",제작동관,
AJR37048418,MJU61920205,"Tube,Connector",제작동관,
AJR37103404,4930A20053A,"Holder,Sensor",반제품,
AJR37103404,4H00049A,"Tube,Pinch Off",제작동관,
AJR37161107,4H00049A,"Tube,Pinch Off",제작동관,
AJR37161108,4H00049A,"Tube,Pinch Off",제작동관,
AJR55707008,MJU47978301,"Tube,Connector",제작동관,
AJR55707008,MJU47978302,"Tube,Connector",제작동관,
AJR62820102,4H00049A,"Tube,Pinch Off",제작동관,
AJR65507613,4930A20053A,"Holder,Sensor",반제품,
AJR65507704,4930A20053A,"Holder,Sensor",반제품,
AJR65507704,5211A22074A,"Tube Assembly,Connector",반제품,
AJR65507705,4930A20053A,"Holder,Sensor",반제품,
AJR65507708,4930A20053A,"Holder,Sensor",반제품,
AJR65507709,4930A20053A,"Holder,Sensor",반제품,
AJR65507710,4930A20053A,"Holder,Sensor",반제품,
AJR65507715,4930A20053A,"Holder,Sensor",반제품,
AJR65507716,4930A20053A,"Holder,Sensor",반제품,
AJR65507720,4930A20053A,"Holder,Sensor",반제품,
AJR65507720,5211A22074A,"Tube Assembly,Connector",반제품,
AJR65507726,4930A20053A,"Holder,Sensor",반제품,
AJR65507732,4930A20053A,"Holder,Sensor",반제품,
AJR65507732,5211A22074A,"Tube Assembly,Connector",반제품,
AJR65507733,4930A20053A,"Holder,Sensor",반제품,
AJR65507733,MJU63001003,"Tube,Connector",제작동관,
AJR72367603,MJU61721901,"Tube,Connector",제작동관,
AJR72367604,MJU61721901,"Tube,Connector",제작동관,
AJR72367702,4H00049A,"Tube,Pinch Off",제작동관,
AJR72367702,MJU61391901,"Tube,Connector",제작동관,
AJR72367702,MJU61721901,"Tube,Connector",제작동관,
AJR72572908,4H00049A,"Tube,Pinch Off",제작동관,
AJR72914502,4930A20053A,"Holder,Sensor",반제품,
AJR72914508,4930A20053A,"Holder,Sensor",반제품,
AJR72914511,4930A20053A,"Holder,Sensor",반제품,
AJR72928401,4930A20053A,"Holder,Sensor",반제품,
AJR72928401,5210A22841A,"Tube,Coupling",반제품,
AJR72928401,MJU61885601,"Tube,Connector",제작동관,
AJR72928402,5210A22841A,"Tube,Coupling",반제품,
AJR72928402,MJU61885601,"Tube,Connector",제작동관,
AJR72933701,4A00114D,"Tube,Connector",제작동관,
AJR72933701,4H00049A,"Tube,Pinch Off",제작동관,
AJR72933701,MJU61873701,"Tube,Connector",제작동관,
AJR72933701,MJU61892301,"Tube,Connector",제작동관,
AJR72933701,MJU61892401,"Tube,Connector",제작동관,
AJR72937701,4930A20053A,"Holder,Sensor",반제품,
AJR72937701,4H00049A,"Tube,Pinch Off",제작동관,
AJR72937701,AJR36904201,"Tube Assembly,Expansion",반제품,
AJR72937701,AJR72942901,"Tube Assembly,Connector",반제품,
AJR72942401,4H00049A,"Tube,Pinch Off",제작동관,
AJR72946422,4930A20053A,"Holder,Sensor",반제품,
AJR72946424,4930A20053A,"Holder,Sensor",반제품,
AJR72946805,4H00049A,"Tube,Pinch Off",제작동관,
AJR72946806,4H00049A,"Tube,Pinch Off",제작동관,
AJR72952503,MJU62097401,"Tube,Connector",제작동관,
AJR72952603,MJU62097401,"Tube,Connector",제작동관,
AJR72953103,4930A20053A,"Holder,Sensor",반제품,
AJR72954701,4H00049A,"Tube,Pinch Off",제작동관,
AJR72954801,4930A20053A,"Holder,Sensor",반제품,
AJR72954801,5224A20005M,Strainer,반제품,
AJR72954801,MJU53401202,"Tube,Connector",제작동관,
AJR72957301,4930A20053A,"Holder,Sensor",반제품,
AJR72957305,4930A20053A,"Holder,Sensor",반제품,
AJR72957305,5210A22841A,"Tube,Coupling",반제품,
AJR72982303,4H00901F,"Tube,Connector",제작동관,
AJR72982303,MJU61987003,"Tube,Connector",제작동관,
AJR72982303,MJU67003101,"Tube,Connector",제작동관,
AJR73005001,4930A20053A,"Holder,Sensor",반제품,
AJR73023601,MJU62030601,"Tube,Connector",제작동관,
AJR73023601,MJU62030701,"Tube,Connector",제작동관,
AJR73023801,MAZ61902210,Bracket,반제품,
AJR73065501,4930A20053A,"Holder,Sensor",반제품,
AJR73222701,4H00049A,"Tube,Pinch Off",제작동관,
AJR73222702,4H00049A,"Tube,Pinch Off",제작동관,
AJR73224001,MJU62266801,"Tube,Connector",제작동관,
AJR73326604,4H00049A,"Tube,Pinch Off",제작동관,
AJR73326605,4H00049A,"Tube,Pinch Off",제작동관,
AJR73326607,4H00049A,"Tube,Pinch Off",제작동관,
AJR73326616,4H00049A,"Tube,Pinch Off",제작동관,
AJR73326624,4H00049A,"Tube,Pinch Off",제작동관,
AJR73326629,4H00049A,"Tube,Pinch Off",제작동관,
AJR73326630,4H00049A,"Tube,Pinch Off",제작동관,
AJR73326634,4H00049A,"Tube,Pinch Off",제작동관,
AJR73383001,4H00049A,"Tube,Pinch Off",제작동관,
AJR73562802,4930A20053A,"Holder,Sensor",반제품,
AJR73562802,4H00049A,"Tube,Pinch Off",제작동관,
AJR73562802,EBE60661401,Solenoid,반제품,
AJR73663301,4H00049A,"Tube,Pinch Off",제작동관,
AJR73663302,4H00049A,"Tube,Pinch Off",제작동관,
AJR73682802,4930A20053A,"Holder,Sensor",반제품,
AJR73682803,4930A20053A,"Holder,Sensor",반제품,
AJR73682805,4930A20053A,"Holder,Sensor",반제품,
AJR73703801,4930A20053A,"Holder,Sensor",반제품,
AJR73767304,AJR74488601,"Tube Assembly,Capillary",반제품,
AJR73767511,4930A20053A,"Holder,Sensor",반제품,
AJR73767513,4930A20053A,"Holder,Sensor",반제품,
AJR73767514,4930A20053A,"Holder,Sensor",반제품,
AJR73767711,4930A20053A,"Holder,Sensor",반제품,
AJR73767802,4930A20053A,"Holder,Sensor",반제품,
AJR73767802,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73767812,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73767813,4930A20053A,"Holder,Sensor",반제품,
AJR73767818,4930A20053A,"Holder,Sensor",반제품,
AJR73767818,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73767821,4930A20053A,"Holder,Sensor",반제품,
AJR73767821,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73768801,4930A20053A,"Holder,Sensor",반제품,
AJR73768803,4930A20053A,"Holder,Sensor",반제품,
AJR73822512,EAP30616906,"Coil,Expansion",반제품,
AJR73822523,EAP30616906,"Coil,Expansion",반제품,
AJR73822530,EAP62228706,"Coil,Expansion",반제품,
AJR73822530,EBE61441605,Solenoid,반제품,
AJR73822540,MJU41942219,"Tube,Suction",제작동관,
AJR73822540,MJU41942220,"Tube,Suction",제작동관,
AJR73882506,4930A20053A,"Holder,Sensor",반제품,
AJR73882506,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73882508,4930A20053A,"Holder,Sensor",반제품,
AJR73903407,4930A20053A,"Holder,Sensor",반제품,
AJR73909401,4H00049A,"Tube,Pinch Off",제작동관,
AJR73915505,4930A20053A,"Holder,Sensor",반제품,
AJR73915506,4930A20053A,"Holder,Sensor",반제품,
AJR73915511,4930A20053A,"Holder,Sensor",반제품,
AJR73915512,4930A20053A,"Holder,Sensor",반제품,
AJR73945001,4930A20053A,"Holder,Sensor",반제품,
AJR73949101,4930A20053A,"Holder,Sensor",반제품,
AJR73949101,4H00049A,"Tube,Pinch Off",제작동관,
AJR73964609,4930A20053A,"Holder,Sensor",반제품,
AJR73964902,4930A20053A,"Holder,Sensor",반제품,
AJR73964904,4930A20053A,"Holder,Sensor",반제품,
AJR73964905,4930A20053A,"Holder,Sensor",반제품,
AJR73964906,4930A20053A,"Holder,Sensor",반제품,
AJR73965601,4930A20053A,"Holder,Sensor",반제품,
AJR73965601,MJU62788805,"Tube,Connector",제작동관,
AJR73965601,MJU62788807,"Tube,Connector",제작동관,
AJR73965601,MJU62788809,"Tube,Connector",제작동관,
AJR73965601,MJU62789005,"Tube,Capillary Bending",제작동관,
AJR73965601,MJU62789007,"Tube,Capillary Bending",제작동관,
AJR73965601,MJU62922101,"Tube,Connector",제작동관,
AJR73965601,MJU62922103,"Tube,Connector",제작동관,
AJR73965601,MJU62922105,"Tube,Connector",제작동관,
AJR73965601,MJU62922107,"Tube,Connector",제작동관,
AJR73965601,MJU62922109,"Tube,Connector",제작동관,
AJR73965601,MJU62922111,"Tube,Connector",제작동관,
AJR73965601,MJU62922113,"Tube,Connector",제작동관,
AJR73965602,4930A20053A,"Holder,Sensor",반제품,
AJR73965602,MJU62788806,"Tube,Connector",제작동관,
AJR73965602,MJU62788808,"Tube,Connector",제작동관,
AJR73965602,MJU62788810,"Tube,Connector",제작동관,
