도번,LG부품,LG품명,역할,도번의 자도번후보,자도번수,추천(단일시 자동),← 확정 자도번
AJR30125603,MJU66478704,"Tube,Connector",제작동관,AJR30125601-20-1 | AJR30125601-3-2 | AJR30125603-A-S-1 | AJR30133504 | AJR30125504 | AJR30125505…,8,,
AJR30125603,MJU66478902,"Tube,Connector",제작동관,AJR30125601-20-1 | AJR30125601-3-2 | AJR30125603-A-S-1 | AJR30133504 | AJR30125504 | AJR30125505…,8,,
AJR30125603,MJU66479002,"Tube,Connector",제작동관,AJR30125601-20-1 | AJR30125601-3-2 | AJR30125603-A-S-1 | AJR30133504 | AJR30125504 | AJR30125505…,8,,
AJR30125603,MJU66904602,"Tube,Connector",제작동관,AJR30125601-20-1 | AJR30125601-3-2 | AJR30125603-A-S-1 | AJR30133504 | AJR30125504 | AJR30125505…,8,,
AJR30125603,MJU66904603,"Tube,Connector",제작동관,AJR30125601-20-1 | AJR30125601-3-2 | AJR30125603-A-S-1 | AJR30133504 | AJR30125504 | AJR30125505…,8,,
AJR30133602,MJU00777113,"Tube,Connector",제작동관,AJR30133602-A-S-1 | AJR30133602-A-S-2 | AJR30133602-A-S-3 | AJR30133602-SUB-1,4,,
AJR30133602,MJU00777609,"Tube,Connector",제작동관,AJR30133602-A-S-1 | AJR30133602-A-S-2 | AJR30133602-A-S-3 | AJR30133602-SUB-1,4,,
AJR30133602,MJU00777610,"Tube,Connector",제작동관,AJR30133602-A-S-1 | AJR30133602-A-S-2 | AJR30133602-A-S-3 | AJR30133602-SUB-1,4,,
AJR30133602,MJU66853321,"Tube,Connector",제작동관,AJR30133602-A-S-1 | AJR30133602-A-S-2 | AJR30133602-A-S-3 | AJR30133602-SUB-1,4,,
AJR30133604,MJU00776712,"Tube,Connector",제작동관,AJR30133604-A-S-1 | AJR30133604-A-S-2 | AJR30133604-A-S-3 | AJR30133604-SUB-1,4,,
AJR30133604,MJU00777604,"Tube,Connector",제작동관,AJR30133604-A-S-1 | AJR30133604-A-S-2 | AJR30133604-A-S-3 | AJR30133604-SUB-1,4,,
AJR30133604,MJU00777605,"Tube,Connector",제작동관,AJR30133604-A-S-1 | AJR30133604-A-S-2 | AJR30133604-A-S-3 | AJR30133604-SUB-1,4,,
AJR30133604,MJU66853322,"Tube,Connector",제작동관,AJR30133604-A-S-1 | AJR30133604-A-S-2 | AJR30133604-A-S-3 | AJR30133604-SUB-1,4,,
AJR30133604,MJU66853324,"Tube,Connector",제작동관,AJR30133604-A-S-1 | AJR30133604-A-S-2 | AJR30133604-A-S-3 | AJR30133604-SUB-1,4,,
AJR30133605,MJU00777001,"Tube,Connector",제작동관,AJR30133601-A-S-2 | AJR30133601-A-S-3 | AJR30133601-A-S-4 | AJR30133605-A-S-A | AJR30133605-SUB-1 | AJR30133605-SUB-2,6,,
AJR30133605,MJU00777012,"Tube,Connector",제작동관,AJR30133601-A-S-2 | AJR30133601-A-S-3 | AJR30133601-A-S-4 | AJR30133605-A-S-A | AJR30133605-SUB-1 | AJR30133605-SUB-2,6,,
AJR30133605,MJU00777102,"Tube,Connector",제작동관,AJR30133601-A-S-2 | AJR30133601-A-S-3 | AJR30133601-A-S-4 | AJR30133605-A-S-A | AJR30133605-SUB-1 | AJR30133605-SUB-2,6,,
AJR30133605,MJU65528010,"Tube,Connector",제작동관,AJR30133601-A-S-2 | AJR30133601-A-S-3 | AJR30133601-A-S-4 | AJR30133605-A-S-A | AJR30133605-SUB-1 | AJR30133605-SUB-2,6,,
AJR30133605,MJU66749301,"Tube,Connector",제작동관,AJR30133601-A-S-2 | AJR30133601-A-S-3 | AJR30133601-A-S-4 | AJR30133605-A-S-A | AJR30133605-SUB-1 | AJR30133605-SUB-2,6,,
AJR30133605,MJU66853321,"Tube,Connector",제작동관,AJR30133601-A-S-2 | AJR30133601-A-S-3 | AJR30133601-A-S-4 | AJR30133605-A-S-A | AJR30133605-SUB-1 | AJR30133605-SUB-2,6,,
AJR30133606,MJU00777113,"Tube,Connector",제작동관,AJR30133602-A-S-1 | AJR30133602-A-S-2,2,,
AJR30133606,MJU00777609,"Tube,Connector",제작동관,AJR30133602-A-S-1 | AJR30133602-A-S-2,2,,
