품번,협력사,담당외경,담당T,담당길이,담당개당중량,내외경,내T,내길이,내개당중량,원인,비고
T-88PATH-MANI TUBE7,케이비,7.0,0.7,423.0,0.05239,,,,,미등록(비품번:설명/샘플/스펙),
T-C01867963 9.52*0.65*L269 1650*2=3300 개발 윤동한 요청,미래,9.52,0.65,269.0,0.04356,,,,,미등록(비품번:설명/샘플/스펙),
T-C01868803 9.52*0.65*L90  550*2=1100 개발 윤동한 요청,미래,9.52,0.65,90.0,0.01457,,,,,미등록(비품번:설명/샘플/스펙),
T-C01869889 6.35*0.65*L63 250*4=1000  개발 윤동한 요청,미래,6.35,0.65,63.0,0.00656,,,,,미등록(비품번:설명/샘플/스펙),
T-C01876402 12.7*0.75*L201 1149*3=3447 개발 윤동한 주임 요청,미래,12.7,0.75,201.0,0.0506,,,,,미등록(비품번:설명/샘플/스펙),
T-C01876402 12.7*0.75*L201 1915*5=9575  개발 윤동한 요청,미래,12.7,0.75,201.0,0.0506,,,,,미등록(비품번:설명/샘플/스펙),
T-C01876402 12.7*0.75*L202 1152*5=5760 개발 윤동한 주임 요청,미래,12.7,0.75,202.0,0.05085,,,,,미등록(비품번:설명/샘플/스펙),
T-C01876402 개발 윤동한 주임 요청  12.7*0.75*L202  1152*7=8064,미래,12.7,0.75,202.0,0.05085,,,,,미등록(비품번:설명/샘플/스펙),
T-C01876405 12.7*0.75*L208 1980*5=9900  개발 윤동한 요청,미래,12.7,0.75,208.0,0.05236,,,,,미등록(비품번:설명/샘플/스펙),
T-C01911336 7.0*0.65*L111 570*8=4560 개발 송민찬 요청,미래,7.0,0.65,111.0,0.01287,,,,,미등록(비품번:설명/샘플/스펙),
T-C01911336 개발 송민찬 사원  요청   7.0*0.65*L111 342*14=4788,미래,7.0,0.65,111.0,0.01287,,,,,미등록(비품번:설명/샘플/스펙),
T-C01911344  7.0*0.65*L94 480*4=1920 개발 송민찬 요청,미래,7.0,0.65,94.0,0.0109,,,,,미등록(비품번:설명/샘플/스펙),
T-C01911344 개발 송민찬 사원  요청   7.0*0.65*L94 288*7=2016,미래,7.0,0.65,94.0,0.0109,,,,,미등록(비품번:설명/샘플/스펙),
T-C01911348  7.0*0.65*L89 455*28=12740 개발 송민찬 요청,미래,7.0,0.65,89.0,0.01032,,,,,미등록(비품번:설명/샘플/스펙),
T-C01911348 개발 송민찬 사원  요청   7.0*0.65*L89 273*49=13377,미래,7.0,0.65,89.0,0.01032,,,,,미등록(비품번:설명/샘플/스펙),
T-C01913162 12.7*0.75*L169 1610*5=8050  개발 윤동한 요청,미래,12.7,0.75,169.0,0.04254,,,,,미등록(비품번:설명/샘플/스펙),
T-C01918007 9.52*0.65*L62  380*10=3810 개발 윤동한 요청,미래,9.52,0.65,62.0,0.01004,,,,,미등록(비품번:설명/샘플/스펙),
T-C01945686 12.7*0.75*L221 2105*5=10525  개발 윤동한 요청,미래,12.7,0.75,221.0,0.05563,,,,,미등록(비품번:설명/샘플/스펙),
T-C01945855 9.52*0.65*L198 1215*5=6075 개발 윤동한 요청,미래,9.52,0.65,198.0,0.03206,,,,,미등록(비품번:설명/샘플/스펙),
T-C01945869 9.52*0.65*L252 1545*5=7725 개발 윤동한 요청,미래,9.52,0.65,252.0,0.04081,,,,,미등록(비품번:설명/샘플/스펙),
T-C01945894  7.0*0.65*L125 640*4=2560 개발 송민찬 요청,미래,7.0,0.65,125.0,0.01449,,,,,미등록(비품번:설명/샘플/스펙),
T-C01945894 개발 송민찬 사원  요청   7.0*0.65*L125 384*7=2688,미래,7.0,0.65,125.0,0.01449,,,,,미등록(비품번:설명/샘플/스펙),
T-C01947317 9.52*0.65*L861 5280*5=26400 개발 윤동한 요청,미래,9.52,0.65,861.0,0.13942,,,,,미등록(비품번:설명/샘플/스펙),
T-C01956959  7.0*0.65*L167  513*66=33858  개발 윤동한 주임 요청,미래,7.0,0.65,167.0,0.01936,,,,,미등록(비품번:설명/샘플/스펙),
T-C01956959 7.0*0.65*L166  850*126=107100 개발 윤동한 요청,미래,7.0,0.65,166.0,0.01924,,,,,미등록(비품번:설명/샘플/스펙),
T-C01957006   7.0*0.65*L186  955*6=5730 개발 윤동한 요청,미래,7.0,0.65,186.0,0.02156,,,,,미등록(비품번:설명/샘플/스펙),
T-C01957083  7.0*0.65*L184   567*3=1701 개발 윤동한 주임 요청,미래,7.0,0.65,184.0,0.02133,,,,,미등록(비품번:설명/샘플/스펙),
T-C01957083  7.0*0.65*L185  950*12=11400 개발 윤동한 요청,미래,7.0,0.65,185.0,0.02145,,,,,미등록(비품번:설명/샘플/스펙),
