품번,품명,유형,사내거래처,매입가(JS제외),매입가출처,견적재료비,비고
5224A20005E,Strainer,사급부품,축관반(사내);제이에스,2959,축관반(사내),2959,
5224A20005F,Straier,사급부품,축관반(사내);제이에스,2959,축관반(사내),2959,
5224A20005G,"Tube,Distributor",사급부품,축관반(사내);제이에스,620,축관반(사내),1116,
5224A20005H,Strainer,사급부품,축관반(사내);제이에스,620,축관반(사내),682,
5224A20005J,"Tube,Connector",사급부품,축관반(사내);제이에스,620,축관반(사내),1008,
5224A20005M,Strainer,사급부품,축관반(사내);제이에스,1389,축관반(사내),1624,
5224A20005P,Strainer,사급부품,축관반(사내);제이에스,2959,축관반(사내),2959,
5256A30002D,Muffler,사급부품,축관반(사내);제이에스,1598,축관반(사내),1598,
5256A30003C,"Tube,Connector",사급부품,축관반(사내);제이에스,1453,축관반(사내),2906,
5256A30003D,Muffler,사급부품,제이에스,1178,제이에스,1598,JS만(가격신뢰X)
5256A30003J,Muffler,사급부품,축관반(사내);제이에스,1453,축관반(사내),1453,
5256A30003L,Muffler,사급부품,축관반(사내);제이에스,1065,축관반(사내),1065,
5256A30003U,Muffler,사급부품,축관반(사내);제이에스,927,축관반(사내),2060,
동BODY-6.35(확관물),동BODY-6.35(확관물),사급부품,가공반(사내);제이에스,521,가공반(사내),680,
MJC62301701,Strainer,사급부품,축관반(사내);제이에스,2959,축관반(사내),2959,
MJC62301702,Strainer,사급부품,축관반(사내);제이에스,2959,축관반(사내),2959,
MJU00732201,"Tube,Suction",사급부품,제이에스,673,제이에스,673,JS만(가격신뢰X)
MJU00777404,Tube Connector,사급부품,제이에스,2266,제이에스,2266,JS만(가격신뢰X)
MJU00777405,Tube Connector,사급부품,제이에스,2563,제이에스,2563,JS만(가격신뢰X)
MJU40313204,"Tube,Connector",동관,제이에스,1442,제이에스,424,JS만(가격신뢰X)
MJU42271904,"Tube,Manifold",사급부품,가공반(사내);제이에스,1651,가공반(사내),1651,
MJU47147501,"Tube,Connector",동관,가공반(사내);제이에스,958,가공반(사내),1196,
MJU57132602,"Tube,Connector",동관,제이에스,1121,제이에스,1033,JS만(가격신뢰X)
MJU57152601,"Tube,Connector",동관,가공반(사내);제이에스,410,가공반(사내),274,
MJU60436235,"Tube,Connector",동관,제이에스,443,제이에스,211,JS만(가격신뢰X)
MJU61986901,"Tube,Connector",사급부품,가공반(사내);제이에스,975,가공반(사내),1358,
MJU61986903,"Tube,Connector",사급부품,제이에스,1172,제이에스,815,JS만(가격신뢰X)
MJU61987101,"Tube,Connector",사급부품,가공반(사내);제이에스,4478,가공반(사내),5703,
MJU61987103,"Tube,Connector",사급부품,제이에스,4441,제이에스,4011,JS만(가격신뢰X)
MJU62356410,"Tube,Connector",동관,가공반(사내);제이에스,171,가공반(사내),100,
MJU62366601,"Tube,Connector",사급부품,가공반(사내);제이에스,1937,가공반(사내),2190,
MJU62366603,"Tube,Connector",사급부품,가공반(사내);제이에스,1861,가공반(사내),2436,
MJU62371701,"Tube,Connector",사급부품,가공반(사내);제이에스,2426,가공반(사내),3210,
MJU62371703,"Tube,Connector",사급부품,가공반(사내);제이에스,3025,가공반(사내),4244,
MJU62392101,"Tube,Connector",사급부품,가공반(사내);제이에스,1543,가공반(사내),1804,
MJU62392701,"Tube,Connector",동관,제이에스,488,제이에스,347,JS만(가격신뢰X)
MJU62671602,"Tube,Connector",동관,제이에스,609,제이에스,233,JS만(가격신뢰X)
MJU62671604,"Tube,Connector",동관,가공반(사내);제이에스,411,가공반(사내),232,
MJU62822101,"Tube,Manifold",사급부품,가공반(사내);제이에스,609,가공반(사내),912,
MJU62822102,"Tube,Manifold",사급부품,가공반(사내);제이에스,620,가공반(사내),700,
MJU62822105,"Tube,Connector",사급부품,가공반(사내);제이에스,717,가공반(사내),1015,
MJU62822106,"Tube,Connector",사급부품,가공반(사내);제이에스,631,가공반(사내),946,
MJU62907916,"Tube,Connector",동관,가공반(사내);제이에스,141,가공반(사내),80,
MJU62987402,"Tube,Connector",사급부품,제이에스,260,제이에스,682,JS만(가격신뢰X)
MJU63001003,"Tube,Connector",사급부품,가공반(사내);제이에스,1488,가공반(사내),1488,
MJU63156702,"Tube,Connector",사급부품,가공반(사내);제이에스,694,가공반(사내),694,
MJU63429502,Manifold,사급부품,제이에스,1146,제이에스,2308,JS만(가격신뢰X)
MJU63470904,"Tube,Connector",동관,제이에스,1190,제이에스,923,JS만(가격신뢰X)
MJU63509811,"Tube,Connector",동관,제이에스,2274,제이에스,1405,JS만(가격신뢰X)
MJU63651002,"Tube,Connector",동관,제이에스,194,제이에스,77,JS만(가격신뢰X)
MJU63651004,"Tube,Connector",사급부품,제이에스,795,제이에스,1169,JS만(가격신뢰X)
MJU63651005,"Tube,Connector",사급부품,제이에스,426,제이에스,650,JS만(가격신뢰X)
