협력사,품번,품명,등급,제작동관중량,시점,이전원재료비,이후원재료비,원재료비증가,사급부품가,가공비(고정),이전판가,이후판가,판가증가,최근납품가
명진산업,AJR75645201-19-4,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1240,426,1666,1666,0,1700
명진산업,AJR75645201-19-5,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1340,434,1774,1774,0,1800
명진산업,AJR75645201-19-6,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,760,341,1101,1101,0,1497
명진산업,AJR75645201-19-7,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,720,314,1034,1034,0,1349
명진산업,AJR75645201-19-8,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,870,326,1196,1196,0,1666
명진산업,AJR75645201-19-9,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,990,335,1325,1325,0,1909
명진산업,AJR75645201-19-10,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1290,382,1672,1672,0,2482
명진산업,AJR75645201-19-11,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1340,361,1701,1701,0,2552
명진산업,AJR75645201-19-12,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1020,410,1430,1430,0,2092
명진산업,AJR75645201-19-13,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1312,294,1606,1606,0,2063
명진산업,AJR75645201-19-14,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1101,220,1321,1321,0,2204
미래정밀,AJR74482401-4-1,Tube Connector,일반CU,0.7263,올해(20k),5447,14526,9079,12032,1265,18744,27823,9079,28000
미래정밀,AJR30087401-4-1,Tube Connector,일반CU,0.0,작년(7.5k),4466,11909,7443,0,654,5120,12563,7443,10766
미래정밀,AJR76982501-4-1,"Tube,Connector",일반CU,0.2815,작년(7.5k),2120,5653,3533,2959,500,5579,9112,3533,12516
미래정밀,AJR77167310-4-1,"Tube,Connector",일반CU,0.2346,작년(7.5k),1774,4731,2957,92,428,2294,5251,2957,5416
미래정밀,ACQ30605001-4-1,Tube Connector,일반CU,0.0,올해(20k),1663,4435,2772,0,652,2315,5087,2772,8707
미래정밀,AJR76322601-4-1,"Tube,Connector",일반CU,0.1869,작년(7.5k),1411,3763,2352,685,407,2503,4855,2352,5561
미래정밀,AJR76982501-4-2,"Tube,Connector",일반CU,0.1858,작년(7.5k),1405,3747,2342,1008,372,2785,5127,2342,5187
미래정밀,AJR75763701-4-1,"TUBE, CONNECTOR",일반CU,0.1725,작년(7.5k),1302,3472,2170,91,427,1820,3990,2170,4023
미래정밀,AJR65507705-4-1,"Tube,Connector",일반CU,0.1626,작년(7.5k),1227,3272,2045,57,287,1571,3616,2045,3664
미래정밀,AJR30075401-4-4,Tube Connector,일반CU,0.1555,올해(20k),1166,3109,1943,3757,855,5778,7721,1943,8200
미래정밀,AJR77171201-4-6,"Tube,Connector",일반CU,0.1448,작년(7.5k),1150,3067,1917,390,901,2441,4358,1917,4337
미래정밀,AJR30008101-4-9,"Tube,Connector",일반CU,0.1448,작년(7.5k),1150,3067,1917,390,901,2441,4358,1917,4238
미래정밀,AJR30075401-4-6,Tube Connector,일반CU,0.139,올해(20k),1042,2780,1738,1401,1306,3749,5487,1738,5800
미래정밀,AJR75744140-4-1,Tube Connector,일반CU,0.3658,올해(20k),1037,2765,1728,2525,1693,5255,6983,1728,7400
미래정밀,AJR74522901-4-2,"Tube,Connector",일반CU,0.132,작년(7.5k),996,2656,1660,92,450,1538,3198,1660,3306
미래정밀,AJR77171201-4-5,"Tube,Connector",일반CU,0.1231,작년(7.5k),977,2605,1628,390,655,2022,3650,1628,3577
미래정밀,AJR30008101-4-8,"Tube,Connector",일반CU,0.1212,작년(7.5k),962,2565,1603,390,654,2006,3609,1603,3653
미래정밀,AJR74522901-4-1,"Tube,Connector",일반CU,0.1273,작년(7.5k),961,2563,1602,848,405,2214,3816,1602,6329
미래정밀,AJR77171201-4-4,"Tube,Connector",일반CU,0.1194,작년(7.5k),948,2528,1580,390,768,2106,3686,1580,3730
미래정밀,AJR30008101-4-6,"Tube,Connector",일반CU,0.1178,작년(7.5k),936,2496,1560,390,767,2093,3653,1560,3662
미래정밀,AJR74942617-4-1,"Tube,Connector",일반CU,0.1146,작년(7.5k),910,2427,1517,901,1147,2958,4475,1517,4667
미래정밀,AJR74942627-4-1,"Tube,Connector",일반CU,0.1146,작년(7.5k),910,2427,1517,809,1105,2824,4341,1517,4356
미래정밀,AJR76545302-4-1,Tube Connector,일반CU,0.1127,작년(7.5k),854,2277,1423,3008,1023,4885,6308,1423,10671
미래정밀,AJR77171201-4-3,"Tube,Connector",일반CU,0.0931,작년(7.5k),740,1973,1233,390,626,1756,2989,1233,2916
미래정밀,AJR30008101-4-5,"Tube,Connector",일반CU,0.0921,작년(7.5k),732,1952,1220,390,624,1746,2966,1220,2855
미래정밀,MJU66502905+용접링,"Tube,Connector",고강도CU,0.0403,작년(7.5k),522,1531,1009,20,197,739,1748,1009,1285
미래정밀,AJR30133703-4-1,Tube Connector,고강도CU,0.065,올해(20k),488,1430,942,67,340,895,1837,942,1900
