구분,P/N,협력사,엑셀중량,기하중량/비교,외경,두께,길이,배수/비고
②시트간스펙충돌,MJU66746801,케이비,,,,,,케이비:Φ9.52 T1.45 L156.0 | 케이비:Φ9.52 T1.45 L158.0
②시트간스펙충돌,MJU66746901,케이비,,,,,,케이비:Φ9.52 T1.45 L545.0 | 케이비:Φ9.52 T1.45 L552.0
②시트간스펙충돌,MJU66928209,케이비,,,,,,케이비:Φ9.52 T0.65 L932.0 | 케이비:Φ9.52 T0.65 L927.0 | 케이비:Φ9.52 T0.65 L989.0
②시트간스펙충돌,T-U36A.PIPE01,케이비,,,,,,케이비:Φ7.0 T0.65 L266.0 | 케이비:Φ12.7 T0.75 L220.0
②시트간스펙충돌,MJU64867634,케이비,,,,,,케이비:Φ7.94 T0.55 L977.0 | 케이비:Φ7.94 T0.55 L972.0
②시트간스펙충돌,T-C01843982,케이비,,,,,,케이비:Φ15.88 T0.95 L228.0 | 케이비:Φ15.88 T0.95 L358.0
②시트간스펙충돌,MJU62792304,케이비,,,,,,케이비:Φ15.88 T0.95 L247.0 | 케이비:Φ15.88 T0.98 L247.0 | 케이비:Φ15.88 T0.95 L247.0 | 케이비:Φ15.88 T0.95 L249.0
②시트간스펙충돌,MJU62792003,케이비,,,,,,케이비:Φ12.7 T0.75 L376.0 | 케이비:Φ12.7 T0.75 L376.0 | 케이비:Φ12.7 T0.75 L362.0
②시트간스펙충돌,MJU62287008,케이비,,,,,,케이비:Φ15.77 T0.95 L368.0 | 케이비:Φ15.88 T0.95 L369.0 | 케이비:Φ15.88 T0.95 L368.0 | 케이비:Φ15.88 T0.95 L269.0
②시트간스펙충돌,MJU64987001,케이비,,,,,,케이비:Φ7.94 T0.65 L127.0 | 케이비:Φ7.94 T0.65 L130.0 | 케이비:Φ9.52 T0.65 L182.0
②시트간스펙충돌,MJU64987003,케이비,,,,,,케이비:Φ9.52 T0.65 L176.0 | 케이비:Φ9.52 T0.65 L452.0
②시트간스펙충돌,MJU63908201,케이비,,,,,,케이비:Φ6.35 T0.65 L1083.0 | 케이비:Φ6.35 T0.65 L1085.0 | 케이비:Φ6.35 T0.65 L1092.0
②시트간스펙충돌,MJU63947901,케이비,,,,,,케이비:Φ6.35 T0.65 L1183.0 | 케이비:Φ6.35 T0.65 L1156.0 | 케이비:Φ6.35 T0.65 L1188.0
②시트간스펙충돌,MJU66932515,케이비,,,,,,케이비:Φ9.52 T0.65 L115.0 | 케이비:Φ9.52 T0.65 L85.0 | 케이비:Φ9.52 T0.65 L88.0 | 케이비:Φ9.52 T0.65 L88.0
②시트간스펙충돌,MJU66932516,케이비,,,,,,케이비:Φ9.52 T0.65 L137.0 | 케이비:Φ9.52 T0.65 L187.0 | 케이비:Φ9.52 T0.65 L189.0
②시트간스펙충돌,MJU63407212,케이비,,,,,,케이비:Φ5.0 T0.65 L127.0 | 케이비:Φ5.0 T0.65 L140.0
②시트간스펙충돌,MJU66572001,썬텍/케이비,,,,,,케이비:Φ19.05 T0.95 L81.0 | 썬텍:Φ19.05 T0.95 L80.0 | 썬텍:Φ19.05 T0.95 L80.0
②시트간스펙충돌,MJU63407306,케이비,,,,,,케이비:Φ6.35 T0.85 L61.0 | 케이비:Φ6.35 T0.9 L67.0
