도번,LG부품,LG품명,역할,← 담당: LG맞음/레거시대응코드/신규추가
AJR32883901,3H00815J,Expendables_,용접봉,
AJR32883905,3H00815J,Expendables_,용접봉,
AJR33796502,3H00815J,Expendables_,용접봉,
AJR33796506,MJR61841701,Tie,완성부품,
AJR33796512,3H00815J,Expendables_,용접봉,
AJR33796512,MJR61841701,Tie,완성부품,
AJR33796513,3H00815J,Expendables_,용접봉,
AJR33796513,MJR61841701,Tie,완성부품,
AJR33796526,3H00815J,Expendables_,용접봉,
AJR34407805,3H00815J,Expendables_,용접봉,
AJR34511805,3H00815J,Expendables_,용접봉,
AJR34511805,49112009,Expendables_,용접봉,
AJR34511807,3H00815J,Expendables_,용접봉,
AJR34511807,49112009,Expendables_,용접봉,
AJR34511808,3H00815J,Expendables_,용접봉,
AJR34511808,49112009,Expendables_,용접봉,
AJR34562001,3H00815J,Expendables_,용접봉,
AJR34562001,3H00815J,Expendables_,용접봉,
AJR34565827,3H01582D,Tie,완성부품,
AJR34739801,5210A20322H,"Tube,Pinch Off",제작동관,
AJR34739801,5210A20322H,"Tube,Pinch Off",제작동관,
AJR34739807,3H00815H,Expendables_,용접봉,
AJR34870201,3H00815J,Expendables_,용접봉,
AJR34870201,3H01582D,Tie,완성부품,
AJR35724301,3H00815J,Expendables_,용접봉,
AJR35938601,MJU41496002,"Tube,Discharge",매입동관,
AJR35938601,MJU41496102,"Tube,Discharge",제작동관,
AJR35938601,MJU41496302,"Tube,Discharge",제작동관,
AJR35948517,MJX42581402,"Valve,Service",완성부품,
AJR35948517,MJX42581602,"Valve,Service",완성부품,
AJR36013006,3H00815J,Expendables_,용접봉,
AJR36013006,EBF40271401,"Switch,Pressure",반제품,
AJR36013007,3H00815J,Expendables_,용접봉,
AJR36388608,3H00815J,Expendables_,용접봉,
AJR36478203,3H00815J,Expendables_,용접봉,
AJR36478203,3H00815J,Expendables_,용접봉,
AJR36479502,3H00815J,Expendables_,용접봉,
AJR36479502,3H00815J,Expendables_,용접봉,
AJR36479502,5220A90010G,"Valve,Expansion Body",완성부품,
AJR36479502,5220A90010G,"Valve,Expansion Body",완성부품,
AJR36479502,MJU42132502,"Tube,Connector",제작동관,
AJR36479502,MJU42132502,"Tube,Connector",제작동관,
AJR36479502,MJU42132503,"Tube,Connector",제작동관,
AJR36479502,MJU42132503,"Tube,Connector",제작동관,
AJR36479508,MJU42132502,"Tube,Connector",제작동관,
AJR36479508,MJU42132503,"Tube,Connector",제작동관,
AJR36852701,3H00815J,Expendables_,용접봉,
AJR36852701,5410A30055S,"Insulator,Tube",단열재,
AJR37048414,3H00815J,Expendables_,용접봉,
AJR37048418,3H00815J,Expendables_,용접봉,
AJR37048418,MJU61920205,"Tube,Connector",제작동관,
AJR37103404,3H00815J,Expendables_,용접봉,
AJR37105401,3H00815J,Expendables_,용접봉,
AJR37105401,3H00815J,Expendables_,용접봉,
AJR37105401,4A00322A,"Valve,Check",완성부품,
AJR37105401,4A00322A,"Valve,Check",완성부품,
AJR37105401,4A00609A,Cap,완성부품,
AJR37105401,4A00609A,Cap,완성부품,
AJR49638901,3H00815H,Expendables_,용접봉,
AJR52676201,3H00815F,Expendables_,용접봉,
AJR52676204,3H00815F,Expendables_,용접봉,
AJR52676204,4010AR3071B,"Socket,Flare",완성부품,
AJR52737602,3H00815J,Expendables_,용접봉,
AJR55707008,5410A20111L,"Damper,Butyl",완성부품,
AJR55707009,5410A20111L,"Damper,Butyl",완성부품,
AJR65059803,49112009,Expendables_,용접봉,
AJR65059803,49112009,Expendables_,용접봉,
AJR65059804,3H00815J,Expendables_,용접봉,
AJR65059804,49112009,Expendables_,용접봉,
AJR65507710,53402025,"Tape,Filament",포장재,
AJR65507733,MKW30000003,"Plug,Fusible",매입기타,
AJR68031105,3H00815J,Expendables_,용접봉,
AJR68031105,3H01582D,Tie,완성부품,
AJR68031105,MJX42581402,"Valve,Service",완성부품,
AJR68031105,MJX42581602,"Valve,Service",완성부품,
AJR69417505,3H00815J,Expendables_,용접봉,
AJR69417506,3H00815J,Expendables_,용접봉,
AJR71429409,3H00815J,Expendables_,용접봉,
AJR71429409,3H00815J,Expendables_,용접봉,
AJR72367603,49112009,Expendables_,용접봉,
AJR72367603,MJU61721901,"Tube,Connector",제작동관,
AJR72367604,49112009,Expendables_,용접봉,
AJR72367604,49112009,Expendables_,용접봉,
AJR72367604,MJU61721901,"Tube,Connector",제작동관,
AJR72367604,MJU61721901,"Tube,Connector",제작동관,
AJR72367608,49112009,Expendables_,용접봉,
AJR72367609,49112009,Expendables_,용접봉,
AJR72367702,49112009,Expendables_,용접봉,
AJR72367702,49112009,Expendables_,용접봉,
AJR72367702,MJU61391901,"Tube,Connector",제작동관,
