품번,견적유형(Assy/하위),최근생산월,생산건수
AJR73065501,,,
AJR73065501-은납,,,
AJR73065601,,,
AJR73065601-은납,,,
AJR73067005,,,
AJR73068715,,,
AJR73069602,,,
AJR73069602-은납,,,
AJR73069701,,,
AJR73069701-은납,,,
AJR73123101,,,
AJR73123101-SUB,,,
AJR73123102,,,
AJR73123102-SUB,,,
AJR73182701,Assy,,
AJR73324401,,,
AJR73324402,,,
AJR73324403,,,
AJR73324403-SUB,,,
AJR73324403-은납,,,
AJR73324406,,,
AJR73324406-은납,,,
AJR73326607,,,
AJR73326638,,,
AJR73326639,,,
AJR73326640,,,
AJR73326643,,,
AJR73327001,,,
AJR73327002,,,
AJR73327003,,,
AJR73327003-은납,,,
AJR73327004,,,
AJR73327004-SUB,,,
AJR73327007,,,
AJR73327007-은납,,,
AJR73343201-R-1,,,
AJR73343303-R-1,,,
AJR73364003,,,
AJR73364005,,,
AJR73364007,,,
AJR73364008,,,
AJR73383004,,,
AJR73566525,,,
AJR73663001,,,
AJR73663004,,,
AJR73663302,,,
AJR73767201,,,
AJR73767202,,,
AJR73767204,,,
AJR73767206,,,
AJR73767208,,,
AJR73767304,,,
AJR73767314,,,
AJR73767318,,,
AJR73767401,,,
AJR73767403,,,
AJR73767406,,,
AJR73767408,,,
AJR73767412,,,
AJR73767413,,,
AJR73767416,,,
AJR73767417,,,
AJR73767511,,,
AJR73767513,,,
AJR73767514,,,
AJR73767515,,,
AJR73767803,,,
AJR73767810,,,
AJR73767812,,,
AJR73767813,,,
AJR73767817,,,
AJR73767818,,,
AJR73768805,Assy,,
AJR73786307,,,
AJR73786401,,,
AJR73786408,,,
AJR73803001,,,
AJR73803001-SUB,,,
AJR73803002,,,
AJR73803002-SUB,,,
AJR73803003,,,
AJR73803006,,,
AJR73803007,,,
AJR73803008,,,
AJR73803009,,,
AJR73803010,,,
AJR73804203,,,
AJR73804204,,,
AJR73804206,,,
AJR73804303,,,
AJR73804304,,,
AJR73804305,,,
AJR73804306,,,
AJR73804307,,,
AJR73822504,,,
AJR73822504-SUB,,,
AJR73822506,,,
AJR73822506-SUB,,,
AJR73822528,,,
AJR73822528-SUB,,,
AJR73882504,,,
AJR73909401,,,
AJR73910201,Assy,,
AJR73910202,,,
AJR73915505,,,
AJR73915506,,,
AJR73915511,,,
AJR73915512,,,
AJR73915603,,,
AJR73915604,,,
AJR73915605,,,
AJR73915607,,,
AJR73915611,,,
AJR73915612,,,
AJR73915614,,,
AJR73944511,,,
AJR73944513,,,
AJR73945001,,,
AJR73945001-SUB,,,
AJR73947306,,,
AJR73949101,,,
AJR73952005,,,
AJR73952007,,,
AJR73952501,,,
AJR73952501-은납,,,
AJR73952502,,,
AJR73952502-은납,,,
AJR73952503,,,
AJR73952503-은납,,,
AJR73952509,,,
AJR73952509-은납,,,
AJR73952510,,,
AJR73952510-은납,,,
AJR73952511,,,
AJR73952511-은납,,,
AJR73964601,,,
AJR73964602,,,
AJR73964607,,,
AJR73965501,,,
AJR73965502,,,
AJR73965505,,,
AJR73965506,,,
AJR73965606,,,
AJR73965606-SUB,,,
AJR73965607,,,
AJR73965607-SUB,,,
AJR73965702,,,
AJR73980304,,,
AJR73980317,,,
AJR73980318,,,
AJR73980319,,,
AJR73980321,,,
AJR73980322,,,
AJR73980323,,,
AJR73980324,,,
AJR73982401,,,
AJR73982802,,,
AJR73982802-은납,,,
AJR73988107,,,
AJR73988601,,,
AJR74004701,,,
AJR74005701,,,
AJR74005801,,,
AJR74007502,,,
AJR74007502-SUB,,,
AJR74043408,,,
AJR74107911,,,
AJR74107912,Assy,,
AJR74125301,,,
AJR74145401,,,
AJR74145402,,,
AJR74149201,,,
AJR74162501,,,
AJR74162503,,,
AJR74162504,,,
AJR74169701,,,
AJR74182302,,,
AJR74182305,,,
AJR74182601,,,
AJR74182602,,,
AJR74203404,,,
AJR74203404-은납,,,
AJR74207301,,,
AJR74224101,,,
AJR74224202,,,
AJR74229901,,,
AJR74229902,,,
AJR74230002,,,
AJR74230302,,,
AJR74242401,,,
AJR74242408,,,
AJR74242514,,,
AJR74242520,,,
AJR74243206,,,
AJR74243301,,,
AJR74263316,Assy,,
AJR74263316-은납,,,
AJR74263401,,,
AJR74263402,,,
AJR74265701,,,
AJR74266005,,,
AJR74266005-SUB,,,
AJR74266005-SUB2,,,
AJR74284501,,,
AJR74284501-은납,,,
AJR74284505,,,
AJR74284505-은납,,,
AJR74286001,,,
AJR74286002,,,
AJR74288602,,,
AJR74288801,,,
AJR74288803,,,
AJR74289301,,,
AJR74302403,,,
AJR74302403-은납,,,
AJR74302405,,,
AJR74302405-은납,,,
AJR74364809,,,
AJR74364818,,,
AJR74364825,,,
AJR74364903,,,
AJR74364904,,,
AJR74364911,Assy,,
AJR74364912,,,
AJR74364924,,,
AJR74365002,,,
AJR74365010,,,
AJR74365011,,,
AJR74365101,,,
AJR74365101-SUB,,,
AJR74365202,Assy,,
AJR74365205,,,
AJR74366606,,,
AJR74385603,,,
AJR74385604,,,
AJR74385607,,,
AJR74423402,,,
AJR74423601,,,
AJR74424506,,,
AJR74444401,,,
AJR74462301,,,
AJR74482401,사급부품,,
AJR74482801,,,
AJR74485504,,,
AJR74488601,,,
AJR74488604,,,
AJR74524701,Assy,,
AJR74524701-SOCKET,,,
AJR74524701-SUB,,,
AJR74524702,,,
AJR74524702-SUB,,,
AJR74524703,,,
AJR74524703-SOCKET,,,
AJR74524703-SUB,,,
AJR74524704,,,
AJR74524704-SOCKET,,,
AJR74524704-SUB,,,
AJR74524708,,,
AJR74524708-SOCKET,,,
AJR74524708-SUB,,,
AJR74643301,,,
AJR74663217,,,
AJR74663701,,,
AJR74702801,,,
AJR74803512,,,
AJR74803522,,,
AJR74803536,,,
AJR74803542,,,
AJR74803545,,,
AJR74803546,,,
AJR74803547,,,
AJR74823001,,,
AJR74823001-은납,,,
AJR74823002,,,
AJR74823002-은납,,,
AJR74823101,,,
AJR74823101-은납,,,
AJR74823102,,,
AJR74823102-은납,,,
AJR74823103,,,
AJR74823103-은납,,,
AJR74823104,,,
AJR74823104-은납,,,
AJR74843701,,,
AJR74843702,,,
AJR74844301,,,
AJR74844301-은납,,,
AJR74844302,,,
AJR74844302-은납,,,
AJR74844307,,,
AJR74844307-은납,,,
AJR74844308,,,
AJR74844308-은납,,,
AJR74844309,,,
AJR74844309-은납,,,
AJR74844310,,,
AJR74844310-은납,,,
AJR74844311,,,
AJR74844311-은납,,,
AJR74844312,,,
AJR74844312-은납,,,
AJR74844313,,,
AJR74844313-은납,,,
AJR74844314,,,
AJR74844314-은납,,,
AJR74844315,,,
AJR74844315-은납,,,
AJR74844316,,,
AJR74844317,,,
AJR74844318,,,
AJR74844318-SUB,,,
AJR74844319,,,
AJR74844319-SUB,,,
AJR74923001,,,
