품번,종류,경로,원소재,외경,두께,길이,종전원소재비,현재사급가,soyo,종전재료비pu,현재재료비pu,검산오차%
AJR77224501-20-1,SUB,SUB전개,MJU66479701,9.52,0.65,171.0,20000.0,20000,1.0,554,554,0.0
AJR77224501-20-1,SUB,SUB전개,MJU66479601,9.52,0.65,114.0,20000.0,20000,1.0,369,369,0.0
AJR77224501-20-1,SUB,SUB전개,MJU66479501,9.52,0.65,203.0,20000.0,20000,1.0,657,657,0.0
AJR77224501-20-1,SUB,SUB전개,MJU66479401,9.52,0.65,267.0,20000.0,20000,1.0,865,865,0.0
AJR77224518-20-1,SUB,SUB전개,MJU66479401,9.52,0.65,268.0,7575.0,20000,1.0,329,868,0.0
AJR77224518-20-1,SUB,SUB전개,MJU66479501,9.52,0.65,203.0,7575.0,20000,1.0,249,657,0.0
AJR77224518-20-1,SUB,SUB전개,MJU66479601,9.52,0.65,114.0,7575.0,20000,1.0,140,369,0.0
AJR77224518-20-1,SUB,SUB전개,MJU66749602,9.52,0.65,59.0,7575.0,20000,1.0,72,191,0.0
AJR77224518-20-1,SUB,SUB전개,MJU66799901,9.52,0.65,99.0,7575.0,20000,1.0,121,321,0.0
AJR77225602-20-1,SUB,SUB전개,MJU66571902,19.05,0.95,304.0,20000.0,20000,1.0,2936,2936,0.0
AJR77225602-20-1,SUB,SUB전개,MJU66572001,19.05,0.95,80.0,20000.0,20000,1.0,773,773,0.0
AJR77225607-20-1,SUB,SUB전개,MJU66571901,19.05,0.95,304.0,20000.0,20000,1.0,2936,2936,0.0
AJR77225607-20-1,SUB,SUB전개,MJU66572001,19.05,0.95,80.0,20000.0,20000,1.0,773,773,0.0
AJR77225607-20-1,SUB,SUB전개,MJU66570002,9.52,0.65,553.0,20000.0,20000,1.0,1791,1791,0.0
MJU00787901,단품,단품,MJU00787901,12.7,0.75,300.0,20000.0,20000,1,1510,1510,0.0
MJU00787902,단품,단품,MJU00787902,12.7,0.75,300.0,20000.0,20000,1,1510,1510,0.0
MJU00787903,단품,단품,MJU00787903,12.7,0.75,84.0,20000.0,20000,1,423,423,0.0
MJU00788001,단품,단품,MJU00788001,9.52,0.65,91.0,20000.0,20000,1,295,295,0.0
MJU00788002,단품,단품,MJU00788002,9.52,0.65,64.0,20000.0,20000,1,207,207,0.0
MJU00788306,단품,단품,MJU00788306,6.35,0.65,127.0,20000.0,20000,1,264,264,0.0
MJU00788307,단품,단품,MJU00788307,6.35,0.65,98.0,20000.0,20000,1,204,204,0.0
MJU00788308,단품,단품,MJU00788308,6.35,0.65,85.0,20000.0,20000,1,177,177,0.0
MJU00788309,단품,단품,MJU00788309,6.35,0.65,143.0,20000.0,20000,1,298,298,0.0
MJU00788310,단품,단품,MJU00788310,6.35,0.65,130.0,20000.0,20000,1,271,271,0.0
MJU61986901,단품,신규역산-단품,MJU61986901,22.2,1.15,135.0,,20000,1,,1836,
MJU61987101,단품,신규역산-단품,MJU61987101,22.2,1.15,658.0,,20000,1,,8947,
MJU63208002,단품,단품,MJU63208002,12.7,0.75,262.0,7560.0,20000,1,499,1319,0.0
MJU63208003,단품,단품,MJU63208003,12.7,0.75,262.0,7560.0,20000,1,499,1319,0.0
MJU63208104,단품,단품,MJU63208104,7.0,0.65,91.0,7711.0,20000,1,81,211,0.0
MJU63208105,단품,단품,MJU63208105,7.0,0.65,138.0,7711.0,20000,1,123,320,0.0
MJU63208106,단품,단품,MJU63208106,7.0,0.65,109.0,7711.0,20000,1,97,253,0.0
MJU64948401,단품,단품,MJU64948401,15.88,0.95,145.0,7549.0,20000,1,436,1155,0.0
MJU66479601,단품,단품,MJU66479601,9.52,0.65,114.0,7575.0,20000,1,140,369,0.0
MJU66479701,단품,단품,MJU66479701,9.52,0.65,171.0,7575.0,20000,1,210,554,0.0
MJU66479802,단품,단품,MJU66479802,15.88,0.95,362.0,20000.0,20000,1,2884,2884,0.0
MJU66479803,단품,단품,MJU66479803,15.88,0.95,343.0,20000.0,22000,1,2733,3006,0.0
MJU66507045,단품,단품,MJU66507045,9.52,0.65,415.0,20000.0,20000,1,1344,1344,0.0
MJU66507051,단품,단품,MJU66507051,9.52,0.65,97.0,20000.0,20000,1,314,314,0.0
MJU66507052,단품,단품,MJU66507052,9.52,0.65,365.0,20000.0,20000,1,1182,1182,0.0
MJU66507053,단품,단품,MJU66507053,9.52,0.65,654.0,20000.0,20000,1,2118,2118,0.0
MJU66570002,단품,단품,MJU66570002,9.52,0.65,553.0,20000.0,20000,1,1791,1791,0.0
MJU66749602,단품,단품,MJU66749602,9.52,0.65,59.0,7575.0,20000,1,72,191,0.0
MJU66799901,단품,단품,MJU66799901,9.52,0.65,99.0,7575.0,20000,1,121,321,0.0
MJU66823202,단품,단품,MJU66823202,6.35,0.65,123.0,7671.0,20000,1,98,256,0.0
MJU66823302,단품,단품,MJU66823302,6.35,0.65,161.0,7671.0,20000,1,129,335,0.0
