assy,원소재,유형,외경,두께,길이,원소재비,소요량,견적재료비,검산(geom×원),오차%,마커
AJR77182701,MJU66486801,동관,4.76,0.65,821.0,7941.0,1.0,489.2437325710349,489.2,0.0,
AJR77182701,MJU66486901,동관,4.76,0.65,833.0,7941.0,1.0,496.39467628705495,496.3,0.0,
AJR77182701,MJU66487001,동관,4.76,0.65,833.0,7941.0,1.0,496.39467628705495,496.3,0.0,
AJR77182701,MJU66487101,동관,4.76,0.65,833.0,7941.0,1.0,496.39467628705495,496.3,0.0,
AJR77182701,MJU66487201,동관,4.76,0.65,833.0,7941.0,1.0,496.39467628705495,496.3,0.0,
AJR77182701,MJU66487301,동관,4.76,0.65,833.0,7941.0,1.0,496.39467628705495,496.3,0.0,
AJR77182701,MJU66487401,동관,4.76,0.65,833.0,7941.0,1.0,496.39467628705495,496.3,0.0,
AJR77182701,MJU66487501,동관,4.76,0.65,833.0,7941.0,1.0,496.39467628705495,496.3,0.0,
AJR77182701,MJU66487601,동관,4.76,0.65,833.0,7941.0,1.0,496.39467628705495,496.3,0.0,
AJR77182701,MJU66487701,동관,4.76,0.65,658.0,7941.0,1.0,392.11008042842997,392.1,0.0,
AJR77182701,MJU66487801,동관,4.76,0.65,658.0,7941.0,1.0,392.11008042842997,392.1,0.0,
AJR77182701,MJU66487901,동관,4.76,0.65,658.0,7941.0,1.0,392.11008042842997,392.1,0.0,
AJR77182701,MJU66488001,동관,4.76,0.65,658.0,7941.0,1.0,392.11008042842997,392.1,0.0,
AJR77183101,MJU66467601,동관,4.76,0.65,890.0,7941.0,1.0,530.36165893815,530.3,0.0,
AJR77183101,MJU66467701,동관,4.76,0.65,902.0,7941.0,1.0,537.51260265417,537.4,0.0,
AJR77183101,MJU66467801,동관,4.76,0.65,902.0,7941.0,1.0,537.51260265417,537.4,0.0,
AJR77183101,MJU66467901,동관,4.76,0.65,902.0,7941.0,1.0,537.51260265417,537.4,0.0,
AJR77183101,MJU66468001,동관,4.76,0.65,764.0,7941.0,1.0,455.27674991993996,455.2,0.0,
AJR77183101,MJU66468101,동관,4.76,0.65,764.0,7941.0,1.0,455.27674991993996,455.2,0.0,
AJR77183101,MJU66468201,동관,4.76,0.65,764.0,7941.0,1.0,455.27674991993996,455.2,0.0,
AJR77183101,MJU66468301,동관,4.76,0.65,764.0,7941.0,1.0,455.27674991993996,455.2,0.0,
AJR77183101,MJU66468401,동관,4.76,0.65,764.0,7941.0,1.0,455.27674991993996,455.2,0.0,
AJR77183101,MJU66468501,동관,4.76,0.65,589.0,7941.0,1.0,350.992154061315,350.9,0.0,
AJR77183101,MJU66468601,동관,4.76,0.65,589.0,7941.0,1.0,350.992154061315,350.9,0.0,
AJR77183101,MJU66468701,동관,4.76,0.65,589.0,7941.0,1.0,350.992154061315,350.9,0.0,
AJR77183101,MJU66468801,동관,4.76,0.65,589.0,7941.0,1.0,350.992154061315,350.9,0.0,
AJR30077802,MJU47979202,동관,4.76,0.65,172.0,7941.0,1.0,102.49685992961999,102.5,0.0,
AJR30077802,MJU47979203,동관,4.76,0.65,135.0,7941.0,1.0,80.44811680522498,80.4,0.0,
AJR30077802,MJU47978305,기존가,6.35,0.55,155.0,13028.0,1.0,180.94720131399998,,,기존재료비
AJR30077802,MJU47978304,기존가,7.94,0.55,235.0,12948.0,1.0,347.39968481790004,,,기존재료비
AJR30077802,MJU47979201,사급부품,,,,262.0,1.0,262.0,,,사급가
AJR30077802,MJU62823101,사급부품,,,,757.0,1.0,757.0,,,사급가
AJR30077802,5210A22409A,사급부품,,,,56.0,1.0,56.0,,,사급가
AJR30077802,RAC30599303,용접봉,,,,21100.0,0.00290287,61.250557,,,사급가
AJR30077802,MJU66929403,기존가,6.35,0.55,154.0,13028.0,1.0,179.77980001519998,,,기존재료비
AJR30077802,MJU66929404,기존가,6.35,0.55,156.0,13028.0,1.0,182.1146026128,,,기존재료비
AJR30077802,3H03659L,사급부품,,,,538.0,1.0,538.0,,,사급가
AJR30077802,RAC30599303,용접봉,,,,21100.0,0.00094336,19.904896,,,사급가
AJR73952501,MJU63208003,동관,12.7,0.75,262.0,7560.0,1.0,498.65938227,498.6,0.0,
AJR73952501,MJU63208106,동관,7.0,0.65,109.0,7711.0,2.0,97.44869379602498,97.4,0.0,
AJR73952501,MJU63208104,동관,7.0,0.65,91.0,7711.0,1.0,81.35624894897501,81.3,0.0,
AJR73952501,MJU63208105,동관,7.0,0.65,138.0,7711.0,1.0,123.37541049405,123.4,0.0,
AJR73952501,5210A22409B,사급부품,,,,56.0,1.0,56.0,,,사급가
AJR73952501,RAC30599303,용접봉,,,,21100.0,0.0035086575000000003,74.03267325,,,사급가
AJR73952502,MJU63208002,동관,12.7,0.75,262.0,7560.0,1.0,498.65938227,498.6,0.0,
AJR73952502,MJU63208104,동관,7.0,0.65,91.0,7711.0,2.0,81.35624894897501,81.3,0.0,
AJR73952502,MJU63208105,동관,7.0,0.65,138.0,7711.0,1.0,123.37541049405,123.4,0.0,
AJR73952502,5210A22409B,사급부품,,,,56.0,1.0,56.0,,,사급가
AJR73952502,RAC30599303,용접봉,,,,21100.0,0.002914245,61.49056950000001,,,사급가
AJR74823101,MJU64067601,동관,7.0,0.65,124.0,7711.0,2.0,110.85906450189998,110.8,0.0,
AJR74823101,MJU64067602,동관,7.0,0.65,117.0,7711.0,1.0,104.60089150582499,104.6,0.0,
AJR74823101,MJU64067603,동관,7.0,0.65,107.0,7711.0,1.0,95.66064436857498,95.6,0.0,
AJR74823101,MJU64067604,동관,7.0,0.65,105.0,7711.0,1.0,93.87259494112499,93.9,0.0,
AJR74823101,MJU64067605,동관,7.0,0.65,91.0,7711.0,1.0,81.35624894897501,81.3,0.0,
AJR74823101,MJU64067701,동관,15.88,0.95,455.0,7549.0,1.0,1368.472184049425,1368.3,0.0,
AJR74823101,5210A22409B,사급부품,,,,56.0,1.0,56.0,,,사급가
AJR74823101,RAC30599303,용접봉,,,,21100.0,0.005761825000000001,121.57450750000001,,,사급가
AJR74823102,MJU64067601,동관,7.0,0.65,124.0,7711.0,2.0,110.85906450189998,110.8,0.0,
AJR74823102,MJU64067602,동관,7.0,0.65,117.0,7711.0,1.0,104.60089150582499,104.6,0.0,
AJR74823102,MJU64067603,동관,7.0,0.65,107.0,7711.0,1.0,95.66064436857498,95.6,0.0,
AJR74823102,MJU64067604,동관,7.0,0.65,105.0,7711.0,1.0,93.87259494112499,93.9,0.0,
AJR74823102,MJU64067605,동관,7.0,0.65,91.0,7711.0,1.0,81.35624894897501,81.3,0.0,
AJR74823102,MJU64067702,동관,15.88,0.95,455.0,7549.0,1.0,1368.472184049425,1368.3,0.0,
AJR74823102,5210A22409B,사급부품,,,,56.0,1.0,56.0,,,사급가
AJR74823102,RAC30599303,용접봉,,,,21100.0,0.005761825000000001,121.57450750000001,,,사급가
AJR74823103,MJU64067601,동관,7.0,0.65,124.0,7711.0,1.0,110.85906450189998,110.8,0.0,
AJR74823103,MJU64067602,동관,7.0,0.65,117.0,7711.0,1.0,104.60089150582499,104.6,0.0,
AJR74823103,MJU64067604,동관,7.0,0.65,105.0,7711.0,1.0,93.87259494112499,93.9,0.0,
AJR74823103,MJU64067605,동관,7.0,0.65,91.0,7711.0,1.0,81.35624894897501,81.3,0.0,
AJR74823103,MJU64067703,동관,15.88,0.95,455.0,7549.0,1.0,1368.472184049425,1368.3,0.0,
AJR74823103,5210A22409B,사급부품,,,,56.0,1.0,56.0,,,사급가
AJR74823103,RAC30599303,용접봉,,,,21100.0,0.004573000000000001,96.49030000000002,,,사급가
AJR74823104,MJU64067601,동관,7.0,0.65,124.0,7711.0,1.0,110.85906450189998,110.8,0.0,
AJR74823104,MJU64067602,동관,7.0,0.65,117.0,7711.0,1.0,104.60089150582499,104.6,0.0,
AJR74823104,MJU64067604,동관,7.0,0.65,105.0,7711.0,1.0,93.87259494112499,93.9,0.0,
AJR74823104,MJU64067605,동관,7.0,0.65,91.0,7711.0,1.0,81.35624894897501,81.3,0.0,
AJR74823104,MJU64067704,동관,15.88,0.95,455.0,7549.0,1.0,1368.472184049425,1368.3,0.0,
AJR74823104,5210A22409B,사급부품,,,,56.0,1.0,56.0,,,사급가
AJR74823104,RAC30599303,용접봉,,,,21100.0,0.004573000000000001,96.49030000000002,,,사급가
AJR76523027,MJU63651005,동관,9.52,0.65,222.0,7575.0,1.0,272.34808587674996,272.3,0.0,
AJR76523027,MJU63651022,동관,9.52,0.65,424.0,7575.0,1.0,520.1603081609999,520.1,0.0,
AJR76523027,MJU63641023,동관,9.52,0.65,112.0,7575.0,1.0,137.40083611799997,137.4,0.0,
AJR76523027,MJU66932046,동관,6.35,0.9,66.0,7671.0,1.0,69.75681919469999,69.7,0.0,
AJR76523027,MJU67039503,동관,9.52,0.65,109.0,7575.0,1.0,133.72045657912497,133.7,0.0,
AJR76523027,4A00114F,사급부품,,,,685.0,1.0,685.0,,,사급가
AJR76523027,5210A22409C,사급부품,,,,61.0,1.0,61.0,,,사급가
AJR76523027,5256A30003C,사급부품,,,,1453.0,2.0,2906.0,,,사급가
AJR76523027,RAC30599303,용접봉,,,,21100.0,0.005812935,122.6529285,,,사급가
AJR77170902,MJU66766602,동관,6.35,0.55,176.0,13028.0,1.0,205.46262858879996,205.4,0.0,
AJR77170902,MJU66500502,동관,6.35,0.55,308.0,13028.0,1.0,359.55960003039996,359.5,0.0,
AJR77170902,MJU66500402,동관,6.35,0.55,244.0,13028.0,1.0,284.8459169072,284.8,0.0,
AJR77170902,MJU66500302,동관,6.35,0.55,209.0,13028.0,1.0,243.98687144920004,244.0,0.0,
AJR77170902,MJU66500202,동관,6.35,0.55,184.0,13028.0,1.0,214.8018389792,214.8,0.0,
AJR77170902,MJU66499502,동관,6.35,0.55,170.0,13028.0,1.0,198.45822079599998,198.4,0.0,
AJR77170902,MJU66499702,동관,6.35,0.55,256.0,13028.0,1.0,298.8547324928,298.8,0.0,
AJR30004702,MJU00697402,동관,15.88,0.75,1094.0,12818.0,1.0,4469.814704187301,4469.2,0.0,
AJR30004702,MJU00697501,동관,7.0,0.55,52.0,12848.0,7.0,66.57528203040002,66.6,0.0,
AJR30004702,MJU00697502,동관,7.0,0.55,133.0,12848.0,1.0,170.27908673160002,170.3,0.0,
AJR30004702,5210A22409B,사급부품,,,,56.0,1.0,56.0,,,사급가
AJR30004702,RAC30599303,용접봉,,,,21100.0,0.005526860000000001,116.616746,,,사급가
AJR30004702,RAC30599303,용접봉,,,,21100.0,0.00660352,139.334272,,,사급가
AJR77170902,RAC30599303,용접봉,,,,21100.0,0.007075199999999999,149.28671999999997,,,사급가
AJR77224518,MJU66479401,동관,9.52,0.65,268.0,7575.0,1.0,328.78057213949995,328.7,0.0,
AJR77224518,MJU66479501,동관,9.52,0.65,203.0,7575.0,1.0,249.03901546387502,249.0,0.0,
AJR77224518,MJU66479601,동관,9.52,0.65,114.0,7575.0,1.0,139.85442247725,139.8,0.0,
AJR77224518,MJU66749602,동관,9.52,0.65,59.0,7575.0,1.0,72.380797597875,72.4,0.0,
AJR77224518,MJU66799901,동관,9.52,0.65,99.0,7575.0,1.0,121.452524782875,121.4,0.0,
AJR77224518,MJX61537805,사급부품,,,,6176.0,2.0,12352.0,,,사급가
AJR77224518,4A00114D,사급부품,,,,685.0,2.0,1370.0,,,사급가
AJR77224518,RAC30599303,용접봉,,,,21100.0,0.0058726,123.91186,,,사급가
AJR77188801,MJU55479901,동관,15.88,0.95,248.0,7549.0,1.0,745.8925310862801,745.8,0.0,
AJR77188801,MJU66479801,동관,15.88,0.95,330.0,7549.0,1.0,992.51828733255,992.4,0.0,
AJR77188801,5220A90008Y,사급부품,,,,19243.0,1.0,19243.0,,,사급가
AJR77188801,RAC30599303,용접봉,,,,21100.0,0.00284758,60.083938,,,사급가
AJR77182902,MJU66467102,동관,22.22,0.95,,7550.0,1.0,0.0,,,
AJR77182902,MJU66467102,기타,,,,12040.0,,10899.0,,,
AJR77182902,MJU66466702,동관,6.35,0.55,274.0,13028.0,1.0,319.8679558712,319.8,0.0,
