code,kind,phi,thick,length,copper_unit_kg,nparts
MJU00699101,부품,9.52,1.45,205.0,0.067383,
MJU00702201,부품,6.35,0.65,453.0,0.047145,
MJU00702202,부품,9.52,0.65,131.0,0.021216,
MJU00702203,부품,15.88,0.95,240.0,0.095619,
MJU00702204,부품,9.52,0.65,396.0,0.064133,
MJU00702205,부품,15.88,0.95,93.0,0.037053,
MJU00702206,부품,15.88,0.95,398.0,0.158569,
MJU00702207,부품,9.52,0.65,380.0,0.061542,
MJU00702208,부품,15.88,0.95,388.0,0.154585,
MJU00702209,부품,7.0,0.65,372.0,0.04313,
MJU00702401,부품,4.76,0.65,303.0,0.022738,
MJU00702402,부품,4.76,0.65,303.0,0.022738,
MJU00702403,부품,4.76,0.65,303.0,0.022738,
MJU00702405,부품,4.76,0.65,303.0,0.022738,
MJU00702406,부품,4.76,0.65,478.0,0.03587,
MJU00702407,부품,4.76,0.65,331.0,0.024839,
MJU00702409,부품,4.76,0.65,102.0,0.007654,
MJU00702411,부품,4.76,0.65,303.0,0.022738,
MJU00702412,부품,4.76,0.65,402.0,0.030167,
MJU00702414,부품,4.76,0.65,402.0,0.030167,
MJU00702415,부품,4.76,0.65,303.0,0.022738,
MJU00702501,부품,7.0,0.65,372.0,0.04313,
MJU00702502,부품,7.0,0.65,462.0,0.053565,
MJU00702503,부품,7.0,0.65,462.0,0.053565,
MJU00702504,부품,7.0,0.65,462.0,0.053565,
MJU00702701,부품,9.52,0.65,326.0,0.052797,
MJU00702702,부품,12.7,0.75,256.0,0.06445,
MJU00702703,부품,9.52,0.65,176.0,0.028504,
MJU00702704,부품,12.7,0.75,416.0,0.104731,
MJU00702705,부품,12.7,0.75,290.0,0.073009,
MJU00702706,부품,12.7,0.75,186.0,0.046827,
MJU00722803,부품,9.52,0.65,234.0,0.037897,
MJU00722804,부품,9.52,0.65,149.0,0.024131,
MJU00722805,부품,9.52,0.65,253.0,0.040974,
MJU00722808,부품,15.88,0.95,645.0,0.256977,
MJU00722811,부품,12.7,0.75,742.0,0.186803,
MJU00722812,부품,15.88,0.95,309.0,0.12311,
MJU00722813,부품,15.88,0.95,81.0,0.032272,
MJU00722814,부품,12.7,0.75,328.0,0.082576,
MJU00731901,부품,9.52,0.65,665.0,0.107699,
MJU00732001,부품,9.52,0.65,410.0,0.066401,
MJU00732401,부품,5.0,0.65,152.0,0.012073,
MJU00732801,부품,12.7,0.75,831.0,0.20921,
MJU00732901,부품,9.52,0.65,533.0,0.086321,
MJU00734301,부품,12.7,0.75,835.0,0.210217,
MJU00734401,부품,9.52,0.65,633.0,0.102516,
MJU00743201,부품,12.7,0.75,100.0,0.025176,
MJU00743301,부품,12.7,0.75,298.0,0.075023,
MJU00743601,부품,12.7,0.75,136.0,0.034239,
MJU00750604,부품,7.0,0.65,130.0,0.015072,
MJU00750605,부품,7.0,0.65,145.0,0.016812,
MJU00750702,부품,9.52,0.65,66.0,0.010689,
MJU00752701,부품,15.88,0.95,118.5,0.047212,
MJU00752901,부품,12.7,0.75,133.05,0.033496,
MJU00753001,부품,15.88,0.95,286.2,0.114026,
MJU00776601,부품,9.52,0.55,430.0,0.05959,
MJU00776602,부품,9.52,0.55,494.0,0.06846,
MJU00776603,부품,9.52,0.55,243.0,0.033675,
MJU00776604,부품,9.52,0.55,403.0,0.055849,
MJU00776605,부품,9.52,0.55,223.0,0.030904,
MJU00776606,부품,9.52,0.55,236.0,0.032705,
MJU00777004,부품,28.0,1.0,301.0,0.228287,
MJU00777204,부품,22.22,1.0,480.0,0.286114,
MJU00777206,부품,22.22,1.0,70.0,0.041725,
