부모ASSY,부모유형,부모품명,자식ASSY(완제품),자식품명,소요량
AJR77224507,완제품,"Tube Assembly, Expansion",MAZ64571803,Bracket,2.0
AJR77224508,완제품,"Tube Assembly,Expansion",AJR75709904,"Tube Assembly, Expansion",1.0
AJR77224508,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224509,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224510,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224511,완제품,"Tube Assembly,Expansion",AJR75709904,"Tube Assembly, Expansion",1.0
AJR77224511,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224512,완제품,"Tube Assembly, Expansion",AJR30051301,"Tube Assembly,Expansion",1.0
AJR77224512,완제품,"Tube Assembly, Expansion",MAZ64571803,Bracket,2.0
AJR77224513,완제품,"Tube Assembly,Expansion",AJR75709904,"Tube Assembly, Expansion",1.0
AJR77224513,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224516,완제품,"Tube Assembly,Expansion",AJR75709904,"Tube Assembly, Expansion",1.0
AJR77224516,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224517,완제품,"Tube Assembly,Expansion",AJR75709904,"Tube Assembly, Expansion",1.0
AJR77224517,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224518,완제품,"Tube Assembly, Expansion",AJR30051301,"Tube Assembly,Expansion",1.0
AJR77224518,완제품,"Tube Assembly, Expansion",MAZ64571803,Bracket,2.0
AJR77224519,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224520,완제품,"Tube Assembly,Expansion",AJR75709904,"Tube Assembly, Expansion",1.0
AJR77224520,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224522,완제품,"Tube Assembly, Expansion",AJR75709904,"Tube Assembly, Expansion",1.0
AJR77224522,완제품,"Tube Assembly, Expansion",MAZ64571803,Bracket,2.0
AJR77224523,완제품,"Tube Assembly,Expansion",AJR75709904,"Tube Assembly, Expansion",1.0
AJR77224523,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224524,완제품,"Tube Assembly,Expansion",AJR75709904,"Tube Assembly, Expansion",1.0
