업체시트,Assy,원소재,사급부품,용접봉,가공비,동소요kg,판가,기존가확정,참조,부품수,flags
대원산업 (3),AJR75763801,1574,0,0,285,0.2082,1858,0,,1,
대원산업 (3),AJR75827603,212,861,49,824,0.027,1944,0,,6,
대원산업 (3),AJR75827603-12-1,125,0,0,67,0.0157,191,0,,1,
대원산업 (3),AJR75942502,142,2174,41,641,0.0185,2996,0,,7,
대원산업 (3),AJR75962501,0,110,0,1861,0.0,1969,0,,6,
대원산업 (3),AJR76322601,1920,1336,52,584,0.2536,3890,0,,6,
대원산업 (3),AJR76322601-12-1,305,0,0,91,0.0403,395,0,,1,
대원산업 (3),AJR76362801,10410,2600,160,2072,0.6568,15237,0,,13,
대원산업 (3),AJR76442506,0,6127,10,275,0.0,6412,0,,2,
대원산업 (3),AJR76462607,346,102,10,411,0.0457,868,0,,4,
대원산업 (3),AJR76462608,697,91,10,460,0.092,1256,0,,4,
대원산업 (3),AJR76462611,0,91,10,312,0.0,412,0,,3,
대원산업 (3),AJR76462620,866,0,0,172,0.1143,1037,0,,1,
대원산업 (3),AJR76462634,0,56,10,179,0.0,245,0,,2,
대원산업 (3),AJR76462634-12-1,859,0,0,171,0.1134,1029,0,,1,
대원산업 (3),AJR76562802,0,7400,200,1038,0.0,8637,0,,6,
대원산업 (3),AJR76562802-12-1,436,0,0,311,0.0566,747,0,,1,
대원산업 (3),AJR76562802-12-2,109,0,0,78,0.0141,186,0,,1,
대원산업 (3),AJR76562802-12-3,96,0,0,43,0.0126,139,0,,1,
대원산업 (3),AJR76562804,388,0,0,95,0.0514,483,0,,1,
대원산업 (3),AJR76703602,0,58,0,61,0.0,118,0,,2,
대원산업 (3),AJR76822701,391,0,0,91,0.0518,481,0,,1,
대원산업 (3),AJR76823801,21075,1538,282,2080,2.7963,11342,0,,24,
대원산업 (3),AJR76823803,15650,1538,282,1841,2.0752,7374,0,,24,
대원산업 (3),AJR76982501,6055,6630,234,1351,0.8025,13429,0,,12,
대원산업 (3),AJR76982501-12-1,644,0,0,0,0.0853,0,0,,1,
대원산업 (3),AJR77171201,0,2340,60,1105,0.0,3504,0,,12,
대원산업 (3),AJR77171201-12-1,0,457,0,0,0.0,457,0,,1,
대원산업 (3),AJR77171201-12-2,0,730,0,0,0.0,730,0,,1,
대원산업 (3),AJR77171201-12-3,0,1015,0,0,0.0,1015,0,,1,
대원산업 (3),AJR77171201-12-4,0,1333,0,0,0.0,1333,0,,1,
대원산업 (3),AJR77171201-12-5,0,1370,0,0,0.0,1370,0,,1,
대원산업 (3),AJR77171201-12-6,0,1586,0,0,0.0,1586,0,,1,
대원산업 (3),AJR77182801,882,7902,189,1868,0.115,10838,0,,6,
대원산업 (3),AJR77182901,2385,7380,147,2497,0.311,12408,0,,5,
대원산업 (3),AJR77224501,2625,18280,216,1502,0.3473,22618,0,,14,
대원산업 (3),AJR77224501-12-1,259,0,0,87,0.0342,344,0,,2,
대원산업 (3),AJR77224501-12-2,1110,0,0,159,0.147,1268,0,,1,
대원산업 (3),AJR77224519,1369,4501,80,602,0.1811,6551,0,,5,
대원산업 (3),AJR77224519-12-1,1110,0,0,159,0.147,1268,0,,1,
대원산업 (3),MJU00777211,3606,0,0,361,0.1639,3966,0,,1,
대원산업 (3),MJU47312206,273,0,0,53,0.0362,325,0,,1,
대원산업 (3),MJU47312220,437,0,0,68,0.0579,504,0,,1,
대원산업 (3),MJU62078902,0,0,0,0,0.0,0,0,,0,
대원산업 (3),MJU63618001,0,0,0,0,0.0,0,0,,0,
대원산업 (3),MJU65048401,313,0,0,54,0.0157,367,0,,1,
대원산업 (3),MJU66166608,9575,234,0,1152,1.4069,12014,0,,8,
대원산업 (3),MJU66166611,15227,1839,94,1070,2.0189,8609,0,,10,
대원산업 (3),MJU66166620,8913,272,0,956,1.3727,11572,0,,8,
대원산업 (3),MJU66266610,1979,0,0,268,0.2622,2246,0,,1,
대원산업 (3),MJU66478501,342,0,0,63,0.0171,405,0,,1,
대원산업 (3),MJU66478701,1107,0,0,166,0.1466,1272,0,,1,
대원산업 (3),MJU66824501,108,0,0,27,0.0144,135,0,,1,
명진산업 (2),5210A20522Q,0,0,0,0,0.1319,0,0,,7,
명진산업 (2),5211A10305J,993,0,0,479,0.125,1469,0,,5,
명진산업 (2),5211A10305T,992,0,0,547,0.1249,1537,0,,5,
명진산업 (2),5211A10549A,0,0,0,0,0.5953,0,0,,17,
명진산업 (2),5211A19008C,392,0,0,430,0.0494,820,0,,4,
명진산업 (2),5211A20466D,0,0,0,0,0.0,0,0,,0,
명진산업 (2),AGR30801601,0,23856,33,306,0.0,24194,0,,7,
명진산업 (2),AGR30801602,0,23856,33,306,0.0,24194,0,,7,
명진산업 (2),AJJ32486326,197,0,0,97,0.0248,294,0,,1,
명진산업 (2),AJR30007603,1265,0,0,835,0.1976,2099,0,,9,
명진산업 (2),AJR30009402,840,0,0,529,0.128,1368,0,,6,
명진산업 (2),AJR30038101,3463,0,0,1433,0.4361,4891,0,,12,
명진산업 (2),AJR30038301,1627,0,0,645,0.2049,2268,0,,6,
명진산업 (2),AJR30060805,841,1913,72,735,0.1096,3559,0,,8,
명진산업 (2),AJR30103101,2384,0,0,1414,0.3293,3791,0,,13,
명진산업 (2),AJR30103102,311,0,0,206,0.0678,517,0,,4,
명진산업 (2),AJR30103301,835,0,0,493,0.1051,1325,0,,4,
명진산업 (2),AJR30105801,0,0,0,0,0.0,0,0,,0,
명진산업 (2),AJR30123001,183,0,0,153,0.1759,335,0,,6,
명진산업 (2),AJR30138103,0,0,0,0,0.0117,0,0,,1,
명진산업 (2),AJR30138104,0,0,0,0,0.0059,0,0,,1,
명진산업 (2),AJR32674713,0,0,0,0,0.1972,0,0,,11,
명진산업 (2),AJR32674714,0,0,0,0,0.1327,0,0,,5,
명진산업 (2),AJR33796501,0,0,0,0,0.1376,0,0,,7,
명진산업 (2),AJR34565827,819,0,0,346,0.1031,1162,0,,4,
명진산업 (2),AJR36137805,0,0,0,0,0.1329,0,0,,4,
명진산업 (2),AJR36274708,0,0,0,0,0.0983,0,0,,6,
명진산업 (2),AJR36852701,0,0,0,0,0.0,0,0,,0,
명진산업 (2),AJR36852706,0,227,0,-181,0.0,46,0,,1,
명진산업 (2),AJR37042101,0,0,0,0,0.0,0,0,,0,
명진산업 (2),AJR65507613,0,0,0,0,0.1341,0,0,,4,
명진산업 (2),AJR72367603,2638,0,0,1060,0.3322,3694,0,,7,
