상위품번,하위품번,상위단가구분,상위생산구분,상위입고처,하위단가구분,하위생산구분,하위입고처,상위품명
MJU65030912,MJU65030912-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU65030913,MJU65030913-6-1,3,2,2306,2,2,2030,"Tube,Connector"
MJU65512602,MJU65512602-컷팅,3,1,233,,1,,"Tube,Manifold"
MJU65666828+36,MJU65666828+36-1,3,2,,3,2,,MJU65666828+36 일체형
MJU65666830,MJU65666830-컷팅,3,1,,3,1,,Tube Connector
MJU65666835+36,MJU65666835+36-1,3,2,,3,1,,MJU65666835  36 일체형
MJU65666836+39,MJU65666836+39-1,,2,,3,2,,MJU65666836+39 일체형
MJU66166606,MJU66166606-1,3,2,,3,2,,Tube Connector
MJU66166608,MJU66166608-1,,5,,3,1,,"Tube,Connector"
MJU66166611,MJU66166611-1,,1,,3,1,,"Tube,Connector"
MJU66166620,MJU66166620-1,,5,,3,1,,"Tube,Connector"
MJU66366803,MJU66366803-1,3,2,2096,3,1,,Tube Connector
MJU66467102,MJU66467102-컷팅,3,1,233,3,1,,"Tube,Manifold"
MJU66493704,MJU66493704-1,3,1,,3,2,,미래정밀 가공 후 사내에서 홀만 작업
MJU66500702,MJU66500702-컷팅,3,2,233,3,1,,"Tube,Manifold"
MJU66547301,MJU66547301-19-1,3,2,2096,,2,2306,"Tube,Connector"
MJU66548701,MJU66548701-밴딩,3,1,,,,2096,"Tube,Connector"
MJU66790702,MJU66790702-1,3,1,,,1,,"Tube,Connector"
MJU66803006,MJU66803006-컷팅,3,1,,3,1,,"Tube,Connector"
MJU66803015,MJU66803015-컷팅,3,2,2096,3,1,,"Tube,Connector"
MJU66803017,MJU66803017-1,3,1,,3,2,2096,Hole 작업
MJU66823801,MJU66823801-6-1,3,2,,3,2,2030,Tube Connector
MJU66823802,MJU66823802-6-1,3,2,,3,2,2030,Tube Connector
MJU66823803,MJU66823803-6-1,3,2,,3,2,2030,Tube Connector
MJU66823804,MJU66823804-6-1,3,2,,3,2,2030,Tube Connector
MJU66823805,MJU66823805-6-1,3,2,,3,2,2030,Tube Connector
MJU66823806,MJU66823806-6-1,3,2,,3,2,2030,Tube Connector
MJU66823807,MJU66823807-6-1,3,2,,3,2,2030,Tube Connector
MJU66823808,MJU66823808-6-1,3,2,,3,2,2030,Tube Connector
MJU66823809,MJU66823809-6-1,3,2,,3,2,2030,Tube Connector
MJU66823810,MJU66823810-6-1,3,2,,3,2,2030,Tube Connector
MJU66824401,MJU66824401-6-1,3,2,2306,2,2,,Tube Connector
MJU66824402,MJU66824402-6-1,3,2,2306,2,2,,Tube Connector
MJU66824403,MJU66824403-6-1,3,2,2306,2,2,0,Tube Connector
MJU66824404,MJU66824404-6-1,3,2,2306,2,2,0,Tube Connector
MJU66824405,MJU66824405-6-1,3,2,2306,2,2,0,Tube Connector
MJU66824406,MJU66824406-6-1,3,2,2306,2,2,0,Tube Connector
MJU66824407,MJU66824407-6-1,3,2,2306,2,2,0,Tube Connector
MJU66824408,MJU66824408-6-1,3,2,2306,2,2,0,Tube Connector
MJU66824409,MJU66824409-6-1,3,2,2306,2,2,0,Tube Connector
MJU66824410,MJU66824410-6-1,3,2,2306,2,2,0,Tube Connector
MJU66824411,MJU66824411-6-1,3,2,2306,2,2,0,Tube Connector
MJU66824412,MJU66824412-6-1,3,2,2306,2,2,0,Tube Connector
MJU66825001,MJU66825001-6-1,3,2,2306,2,2,2030,Tube Connector
MJU66825002,MJU66825002-6-1,3,2,2306,2,2,2030,Tube Connector
MJU66825003,MJU66825003-6-1,3,2,2306,2,2,2030,Tube Connector
MJU66825004,MJU66825004-6-1,3,2,2306,2,2,2030,Tube Connector
MJU66825005,MJU66825005-6-1,3,2,2306,2,2,2030,Tube Connector
MJU66825006,MJU66825006-6-1,3,2,2306,2,2,2030,Tube Connector
MJU66845511,MJU66845511-01,5,2,2306,2,2,2030,Tube Connector
MJU66845512,MJU66845512-01,5,2,2306,2,2,2030,Tube Connector
MJU66845513,MJU66845513-01,5,2,2306,2,2,2030,Tube Connector
MJU66889201,MJU66889201-4-1,3,1,,3,2,2096,제이에스(T뽑기+축관)
MJU66954402,MJU66954402-1,3,2,2096,3,1,2051,"Tube, Connector "
MJU66954402-1,MJU66954402-1-1,3,1,2051,3,1,,"Tube, Connector "
MJU66954403,MJU66954403-1,3,2,2096,3,1,,"Tube, Connector "
MJU66998701,MJU66998701-1,3,2,2306,2,3,2280,"Tube, Capillary"
MJU66998702,MJU66998702-1,3,2,2306,3,3,,"Tube, Capillary"
MJU66998703,MJU66998703-1,2,3,2306,2,3,2280,"Tube, Connector"
MJU66998704,MJU66998704-1,2,3,2306,2,3,2280,"Tube, Connector"
