품번,거래처,입고수량,사유
MJU64966203,케이비,3,견적없음(담당필요)
MJU63086901,명진,3,견적없음(담당필요)
MJU63086902,명진,3,견적없음(담당필요)
MJU64948501,명진,3,견적없음(담당필요)
MJU42933505,케이비,3,견적없음(담당필요)
MJU61919702,케이비,3,견적없음(담당필요)
MJU63208803,케이비,3,견적없음(담당필요)
MJU63336103,케이비,3,견적없음(담당필요)
MJU64773402,케이비,3,견적없음(담당필요)
AJR76264102-19-3,명진,3,견적없음(담당필요)
MJU64948601,명진,3,견적없음(담당필요)
MJU65529705,명진,3,견적없음(담당필요)
MJU65529707,명진,3,견적없음(담당필요)
MJU65529712,명진,3,견적없음(담당필요)
MJU65529714,명진,3,견적없음(담당필요)
MJU61926803,케이비,3,견적없음(담당필요)
MJU61953702,케이비,3,견적없음(담당필요)
MJU62998102,케이비,3,견적없음(담당필요)
MJU63341510,케이비,3,견적없음(담당필요)
MJU64949201,명진,3,견적없음(담당필요)
MJU65529704,명진,3,견적없음(담당필요)
MJU65529710,명진,3,견적없음(담당필요)
MJU61926804,케이비,3,견적없음(담당필요)
MJU63152201,케이비,3,견적없음(담당필요)
MJU64949001,명진,3,견적없음(담당필요)
MJU64949101,명진,3,견적없음(담당필요)
MJU65529708,명진,3,견적없음(담당필요)
MJU65529709,명진,3,견적없음(담당필요)
MJU61926702,케이비,3,견적없음(담당필요)
MJU63336102,케이비,3,견적없음(담당필요)
MJU63482704,케이비,3,견적없음(담당필요)
MJU64948901,명진,3,견적없음(담당필요)
MJU64949401,명진,3,견적없음(담당필요)
MJU64949701,명진,3,견적없음(담당필요)
MJU65529713,명진,3,견적없음(담당필요)
MJU65529716,명진,3,견적없음(담당필요)
MJU63297801,대원,3,견적없음(담당필요)
MJU63297804,대원,3,견적없음(담당필요)
MJU61919905,케이비,3,견적없음(담당필요)
MJU63152001,케이비,3,견적없음(담당필요)
MJU63208805,케이비,3,견적없음(담당필요)
MJU64773403,케이비,3,견적없음(담당필요)
AJR76264102-19-1,명진,3,견적없음(담당필요)
AJR76264102-19-2,명진,3,견적없음(담당필요)
MJU64948701,명진,3,견적없음(담당필요)
MJU64949301,명진,3,견적없음(담당필요)
MJU64949501,명진,3,견적없음(담당필요)
MJU65529706,명진,3,견적없음(담당필요)
MJU65529715,명진,3,견적없음(담당필요)
MJU63122901,케이비,3,견적없음(담당필요)
MJU63310701,케이비,3,견적없음(담당필요)
MJU65529711,명진,3,견적없음(담당필요)
소급,미래,2,견적없음(담당필요)
MJU63507801,중앙,2,견적없음(담당필요)
소급,중앙,2,견적없음(담당필요)
MJU63435001,중앙,2,견적없음(담당필요)
MJU63507901,중앙,2,견적없음(담당필요)
MJU63508001,중앙,2,견적없음(담당필요)
MJU41942202,케이비,2,견적없음(담당필요)
MJU61882701,케이비,2,견적없음(담당필요)
MJU40157910,명진,2,견적없음(담당필요)
MJU63730503,케이비,2,견적없음(담당필요)
MJU63043617,명진,2,견적없음(담당필요)
MJU61882601,케이비,2,견적없음(담당필요)
소급,썬텍,2,견적없음(담당필요)
MJU61883201,케이비,2,견적없음(담당필요)
MJU63730504,케이비,2,견적없음(담당필요)
MJU61883101,케이비,2,견적없음(담당필요)
MJU63043621,명진,2,견적없음(담당필요)
MJU62672402,케이비,2,견적없음(담당필요)
MJU63037905,케이비,2,견적없음(담당필요)
MJU63730505,케이비,2,견적없음(담당필요)
MJU63039509,미래,1,견적없음(담당필요)
MJU66771601,미래,1,견적없음(담당필요)
AJR30019401,미래,1,견적없음(담당필요)
소급,이젠터,1,견적없음(담당필요)
MJU63039612,미래,1,견적없음(담당필요)
소급,케이비,1,견적없음(담당필요)
MJU62913103,케이비,1,견적없음(담당필요)
소급,명진,1,견적없음(담당필요)
5998A20002L,MTS,5898,시트없는거래처
MHH62041502,MTS,5592,시트없는거래처
5210A21458T,MTS,5532,시트없는거래처
4848A20005L,MTS,5054,시트없는거래처
MHH61981504-7-1,MTS,4578,시트없는거래처
AJR71429341-7-1,MTS,3567,시트없는거래처
MHH62041507,MTS,3535,시트없는거래처
AJR71429343,MTS,3413,시트없는거래처
MAA63804601,MTS,2920,시트없는거래처
5998A20002Q,MTS,2585,시트없는거래처
AFY74109506,MTS,1970,시트없는거래처
5256A30003G,MTS,1600,시트없는거래처
AAB35754002,MTS,1303,시트없는거래처
AJR73973707,MTS,1275,시트없는거래처
MHH41401201,MTS,1187,시트없는거래처
MAA63804705,수테크,1187,시트없는거래처
AJR76443003,수테크,1114,시트없는거래처
AJR74424615-7-1,MTS,1072,시트없는거래처
MHH62041504,수테크,608,시트없는거래처
AAB73250401,MTS,574,시트없는거래처
4848A20007P,MTS,456,시트없는거래처
MHH61981504,MTS,454,시트없는거래처
AJR73944505-7-1,MTS,450,시트없는거래처
AJR77223102,MTS,417,시트없는거래처
AJL74852201,수테크,417,시트없는거래처
MAZ61974302,MTS,330,시트없는거래처
MAZ62144002,MTS,265,시트없는거래처
4848A20005A,MTS,260,시트없는거래처
AAB73970501,수테크,245,시트없는거래처
AFY73689504,MTS,139,시트없는거래처
AJR73944506-7-1,MTS,121,시트없는거래처
4849A10047A,MTS,90,시트없는거래처
MAA63804704,수테크,79,시트없는거래처
4848A20005X,MTS,74,시트없는거래처
4A00232N,MTS,60,시트없는거래처
AJR75711901-7-1,MTS,38,시트없는거래처
4849A10047B,MTS,30,시트없는거래처
AJR75625401-7-1,MTS,29,시트없는거래처
5998A20002A,MTS,26,시트없는거래처
4849A10003J,MTS,15,시트없는거래처
AFY73769504,MTS,15,시트없는거래처
AAB32861207,수테크,13,시트없는거래처
AJR77167310-7-1,MTS,12,시트없는거래처
AJR75102405-7-1,MTS,10,시트없는거래처
AJR75244301,MTS,6,시트없는거래처
4848A20007K,MTS,6,시트없는거래처
AAB73390401,MTS,6,시트없는거래처
AFY73689511,MTS,6,시트없는거래처
MAA63804701,MTS,5,시트없는거래처
AJR71429331,MTS,5,시트없는거래처
샘플,MTS,5,시트없는거래처
AJR77223101,MTS,3,시트없는거래처
AFY73689501,MTS,3,시트없는거래처
소급,수테크,3,시트없는거래처
4848A20007H,MTS,2,시트없는거래처
MHH62041508,수테크,1,시트없는거래처
파이프 수불정산금액,수테크,1,시트없는거래처
용접봉 수불정산금액,수테크,1,시트없는거래처
5211A20459K-12-1,대원,3688,원소재/규격텍스트
12.7*50(엘지교육용),이젠터,2500,원소재/규격텍스트
15.88*50(엘지교육용),이젠터,2500,원소재/규격텍스트
9.52*50(엘지교육용),이젠터,500,원소재/규격텍스트
5210A21605N,케이비,80,원소재/규격텍스트
5210A26787E,케이비,50,원소재/규격텍스트
5210A30999N,케이비,50,원소재/규격텍스트
5210A26787C,케이비,25,원소재/규격텍스트
5210A26787A,케이비,25,원소재/규격텍스트
5210A26787B,케이비,25,원소재/규격텍스트
5210A26787D,케이비,25,원소재/규격텍스트
5210A22526C,명진,15,원소재/규격텍스트
5210A25501E,중앙,5,원소재/규격텍스트
5210A31620A,케이비,4,원소재/규격텍스트
5210A31622A,케이비,4,원소재/규격텍스트
5210A31619A,케이비,4,원소재/규격텍스트
5210A31623A,케이비,4,원소재/규격텍스트
5210A31621A,케이비,4,원소재/규격텍스트
5210A26765A,중앙,2,원소재/규격텍스트
5210A26767A,중앙,2,원소재/규격텍스트
5210A26766A,중앙,2,원소재/규격텍스트
5210A22690F,중앙,2,원소재/규격텍스트
