node,name,cs_soyo,bom_soyo,ratio,direction,weld_item,last_prod,active,top_parent,cs_detail,cs_upd,bom_upd,newer
AJR76823101-S1-2,사내 SUB,0.012,0.0137,0.876,CS<BOM,RAC30599301-1,없음,0,,4.76φ×1·6.35φ×2·9.52φ×4,2020-02-28,2023-08-17,BOM최신
AJR76823102-S1-2,사내 SUB,0.0102,0.0119,0.857,CS<BOM,RAC30599301-1,없음,0,,4.76φ×1·6.35φ×2·9.52φ×3,2020-03-02,2023-08-17,BOM최신
AJR76823801,"Tube Assembly,Connector",0.0042,0.0099,0.424,CS<BOM,RAC30599301-1,2023-09-01,0,,22.0φ×1,2019-06-24,2020-12-28,BOM최신
AJR76902304-S1-2,사내 SUB,0.0116,0.0133,0.872,CS<BOM,RAC30599301-1,없음,0,AJR76902304,6.35φ×3·9.52φ×1·19.05φ×1,2020-03-02,2023-08-17,BOM최신
AJR77164001,"Tube Assembly,Connector",0.0012,0.0024,0.5,CS<BOM,RAC30599301-1,2024-03-14,0,,6.35φ×1,2019-09-10,2024-09-27,BOM최신
AJR77202403-S5-3,사내 SUB,0.0018,0.0,,CS>BOM,RAC30599301-1,없음,0,,15.88φ×1,2022-04-02,2025-05-21,BOM최신
AJR77224001,"Tube Assembly,Reverse",0.0324,0.0165,1.964,CS>BOM,RAC30599312,2024-04-24,0,,6.35φ×1·9.52φ×1·19.05φ×1·22.0φ×3·28.0φ×2,2026-04-04,2026-04-04,CS최신
AJR77224005,"Tube Assembly,Reverse",0.0195,1.0195,0.019,CS<BOM,RAC30599301-1,없음,0,,6.35φ×2·9.52φ×1·19.05φ×1·22.0φ×3,2022-04-28,2025-09-02,BOM최신
AJR77224901-S5-1,사내 SUB,0.0276,0.0,,CS>BOM,RAC30599301-1,없음,0,AJR77224901,9.52φ×23,2021-09-30,2023-10-12,BOM최신
AJR77225301-S5-1,사내 SUB,0.0276,0.0,,CS>BOM,RAC30599301-1,없음,0,AJR77225301,9.52φ×23,2021-09-30,2023-11-06,BOM최신
AJR77263001-S5-1,사내 SUB,0.0324,0.0,,CS>BOM,RAC30599301-1,없음,0,AJR77263001,9.52φ×27,2021-09-30,2023-11-09,BOM최신
T-44PATH-MANI-SG,배영주책임샘플,0.0078,0.0096,0.812,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·7.94φ×4·15.88φ×1,2023-03-31,2023-03-31,BOM최신
T-88PATH-EXPANSION,배영주책임샘플,0.0099,0.0195,0.508,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·9.52φ×6·12.7φ×1,2023-04-01,2023-04-01,BOM최신
T-88PATH-MANI-SINGLE,배영주책임샘플,0.0141,0.0159,0.887,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·7.94φ×8·19.05φ×1,2023-03-31,2023-03-31,BOM최신
서브아세이,Sub Assy,0.012,0.0132,0.909,CS<BOM,RAC30599301-1,없음,0,견적교육,9.52φ×10,2021-05-31,2023-08-17,BOM최신
