parent_item,weld_item,item_name,use_qty,routing_st,reason,best_candidate
AJR74364809,RAC30599301-1,"Tube Assembly,Expansion",0.0126,8.0,c_수기override(exact쌍 값불일치),"AJR74364809/RAC30599301-1 unit=0.0009 diam=9.52 (rule=exact(self), exp=0.0108)"
AJR74366603,RAC30599301-1,Tube Assembly,0.0132,3.0,c_수기override(exact쌍 값불일치),"AJR74366603/RAC30599301-1 unit=0.0014 diam=9.52 (rule=exact(self), exp=0.0063)"
AJR74366605,RAC30599301-1,Tube Assembly,0.01,3.0,c_수기override(exact쌍 값불일치),"AJR74366605/RAC30599301-1 unit=0.0014 diam=9.52 (rule=exact(self), exp=0.0063)"
AJR74424506,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.0138,14.0,c_수기override(exact쌍 값불일치),"AJR74424506/RAC30599301-1 unit=0.000857 diam=6.35 (rule=exact(self), exp=0.018)"
AJR74425403,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.0111,14.0,c_수기override(exact쌍 값불일치),"AJR74425403/RAC30599301-1 unit=0.000871 diam=6.35 (rule=exact(self), exp=0.0183)"
AJR74662702,RAC30599301-1,"Tube Assembly,Suction",0.00935,3.0,c_수기override(exact쌍 값불일치),"AJR74662702/RAC30599301-1 unit=0.003133 diam=22.0 (rule=exact(self), exp=0.0141)"
AJR74683101,RAC30599301-1,"Tube Assembly,Reverse",0.03231,23.0,c_수기override(exact쌍 값불일치),"AJR74683101/RAC30599301-1 unit=0.001426 diam=9.52 (rule=exact(self), exp=0.0492)"
AJR74683102,RAC30599301-1,"Tube Assembly,Reverse",0.03231,22.0,c_수기override(exact쌍 값불일치),"AJR74683102/RAC30599301-1 unit=0.001273 diam=9.52 (rule=exact(self), exp=0.042)"
AJR74803545-12-1,RAC30599301-1,미래정밀 Sub,0.0081,6.0,c_수기override(exact쌍 값불일치),"AJR74803545-12-1/RAC30599301-1 unit=0.00108 diam=6.35 (rule=exact(self), exp=0.00972)"
AJR74844312,RAC30599301-1,"Tube Assembly,Manifold(Indoor)",0.0216,13.0,c_수기override(exact쌍 값불일치),"AJR74844312/RAC30599301-1 unit=0.001169 diam=9.52 (rule=exact(self), exp=0.0228)"
AJR74844312-은납,RAC30599327,AJR74844312-SUB,0.0012,2.0,c_수기override(exact쌍 값불일치),"AJR74844312-은납/RAC30599327 unit=0.0008 diam=6.35 (rule=exact(self), exp=0.0024)"
AJR74844317,RAC30599327,"Tube Assembly,Manifold(Indoor)",0.0012,2.0,c_수기override(exact쌍 값불일치),"AJR74844317/RAC30599327 unit=0.0008 diam=6.35 (rule=exact(self), exp=0.0024)"
AJR75183001-9-1,RAC30599301-1,AJR75183001-9-1,0.00563,5.0,c_수기override(exact쌍 값불일치),"AJR75183001-9-1/RAC30599301-1 unit=0.00076 diam=6.35 (rule=exact(self), exp=0.0057)"
AJR75462802,RAC30599301-1,"Tube Assembly,Suction",0.0048,10.0,c_수기override(exact쌍 값불일치),"AJR75462802/RAC30599301-1 unit=0.00106 diam=12.7 (rule=exact(self), exp=0.0159)"
AJR75563502-은납,RAC30599327,AJR75563502-SUB,0.0012,2.0,c_수기override(exact쌍 값불일치),"AJR75563502-은납/RAC30599327 unit=0.0008 diam=6.35 (rule=exact(self), exp=0.0024)"
AJR75563503-F&T-2,RAC30599327,태국 SUB,0.0012,2.0,c_수기override(exact쌍 값불일치),"AJR75563503-F&T-2/RAC30599327 unit=0.0008 diam=6.35 (rule=exact(self), exp=0.0024)"
AJR75702302,RAC30599301-1,"Tube Assembly,Condenser(In)",0.00225,3.0,c_수기override(exact쌍 값불일치),"AJR75702302/RAC30599301-1 unit=0.0008 diam=6.35 (rule=exact(self), exp=0.0036)"
AJR76363201-S3-1,RAC30599301-1,사내 SUB,0.00415,2.0,c_수기override(exact쌍 값불일치),"AJR76363201-S3-1/RAC30599301-1 unit=0.0008 diam=9.52 (rule=exact(self), exp=0.0024)"
AJR76462708,RAC30599327,ADM74930502 SUB,0.0057,2.0,c_수기override(exact쌍 값불일치),"AJR76462708/RAC30599327 unit=0.0038 diam=25.4 (rule=exact(self), exp=0.0114)"
AJR76462709,RAC30599327,ADM74930502 SUB,0.0197,8.0,c_수기override(exact쌍 값불일치),"AJR76462709/RAC30599327 unit=0.003275 diam=25.4 (rule=exact(self), exp=0.0393)"
AJR76502605,RAC30599301-1,"Tube Assembly,Expansion",0.006,3.0,c_수기override(exact쌍 값불일치),"AJR76502605/RAC30599301-1 unit=0.0008 diam=9.52 (rule=exact(self), exp=0.0036)"
AJR76562802,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.0057,2.0,c_수기override(exact쌍 값불일치),"AJR76562802/RAC30599301-1 unit=0.0022 diam=19.05 (rule=exact(self), exp=0.0066)"
AJR76742308-SUB,RAC30599327,AJR76742308-은납,0.0012,2.0,c_수기override(exact쌍 값불일치),"AJR76742308-SUB/RAC30599327 unit=0.0008 diam=6.35 (rule=exact(self), exp=0.0024)"
AJR76742309-SUB,RAC30599327,AJR76742309-은납,0.0012,2.0,c_수기override(exact쌍 값불일치),"AJR76742309-SUB/RAC30599327 unit=0.0008 diam=6.35 (rule=exact(self), exp=0.0024)"
AJR76823801,RAC30599301-1,"Tube Assembly,Connector",0.0099,1.0,c_수기override(exact쌍 값불일치),"AJR76823801/RAC30599301-1 unit=0.0028 diam=22.0 (rule=exact(self), exp=0.0042)"
AJR77224506-S1-4,RAC30599301-1,사내 SUB,0.0072,4.0,c_수기override(exact쌍 값불일치),"AJR77224506-S1-4/RAC30599301-1 unit=0.0009 diam=9.52 (rule=exact(self), exp=0.0054)"
AJR77224901,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.01583,4.0,c_수기override(exact쌍 값불일치),"AJR77224901/RAC30599301-1 unit=0.00265 diam=22.0 (rule=exact(self), exp=0.0159)"
AJR77225301,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.02301,4.0,c_수기override(exact쌍 값불일치),"AJR77225301/RAC30599301-1 unit=0.003825 diam=28.0 (rule=exact(self), exp=0.02295)"
AJR77225602,RAC30599301-1,"Tube Assembly,Reverse",0.0266,7.0,c_수기override(exact쌍 값불일치),"AJR77225602/RAC30599301-1 unit=0.003871 diam=28.0 (rule=exact(self), exp=0.04065)"
AJR77225607,RAC30599301-1,"Tube Assembly,Reverse",0.0278,8.0,c_수기override(exact쌍 값불일치),"AJR77225607/RAC30599301-1 unit=0.003488 diam=28.0 (rule=exact(self), exp=0.04185)"
5211A10305E-S6-1,RAC30599327,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
5211A10305J-S6-1,RAC30599327,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
5211A10424B,RAC30599327,5211A10424B,0.0016,2.0,e_item_weld에 부모전무,
5211A10530B,RAC30599301-1,"Tube Assembly,Manifold(Outdoor)",0.0104,12.0,e_item_weld에 부모전무,
5211A19008J,RAC30599327,"Tube Assembly,Evaporator(In)",0.00418,6.0,e_item_weld에 부모전무,
5211A19008K,RAC30599327,"Tube Assembly,Evaporator(In)",0.00418,6.0,e_item_weld에 부모전무,
5211A20297H,RAC30599301-1,"Tube Assembly,Capillary",0.003,12.0,e_item_weld에 부모전무,
5211A20297S,RAC30599301-1,"Tube Assembly,Capillary",0.0141,20.0,e_item_weld에 부모전무,
5211A20356U,RAC30599301-1,"Tube Assembly,Capillary",0.00804,12.0,e_item_weld에 부모전무,
5211A20459E,RAC30599327,"Tube Assembly,Discharge(Indoor)",0.0008,1.0,e_item_weld에 부모전무,
5211A20459E,RAC30599301-1,"Tube Assembly,Discharge(Indoor)",0.0025,7.0,e_item_weld에 부모전무,
5211A20459K,RAC30599327,"Tube Assembly,Discharge(Indoor)",0.00225,1.0,e_item_weld에 부모전무,
5211A20459K-0-1,RAC30599301-1,사내 SUB,0.006,5.0,e_item_weld에 부모전무,
5211A20459K-0-2,RAC30599301-1,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
5211A20459K-0-3,RAC30599327,사내 SUB,0.0015,1.0,e_item_weld에 부모전무,
5211A20459K-S3-1,RAC30599301-1,사내 SUB,0.006,5.0,e_item_weld에 부모전무,
5211A20459K-S3-2,RAC30599301-1,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
5211A20459K-S3-3,RAC30599327,사내 SUB,0.0015,1.0,e_item_weld에 부모전무,
5211A20459L-S3-2,RAC30599301-1,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
5211A20466N-S6-1,RAC30599327,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
5211A21788C,RAC30599301-1,5211A21788C,0.0041,5.0,e_item_weld에 부모전무,
5211A21907C-1-1,RAC30599301-1,5211A21907C-1-1,0.0032,10.0,e_item_weld에 부모전무,
